SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,brainShift
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-08T09:42:21.307Z
sessionDurationMs,705424
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,3000/2200/1500
switchRates,0/0.4/0.6
itiMs,200
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusNumber,stimulusColor,stimulusPosition,taskDomain,expectedCategory,switchType,labelsVisible
1,1,1,1982,yes,no,-1,1773,1773,0,8,red,topRight,number,odd,first,1
1,2,2,3960,no,no,1,1303,1303,0,2,red,topRight,number,odd,repeat,1
1,3,3,5472,no,no,1,1199,1199,0,6,orange,topRight,number,odd,repeat,1
1,4,4,6885,no,no,1,832,832,0,3,blue,topLeft,number,even,repeat,1
1,5,5,7932,yes,yes,1,1339,1339,0,7,green,topRight,number,odd,repeat,1
1,6,6,9478,no,no,1,1604,1604,0,8,red,topRight,number,odd,repeat,1
1,7,7,11290,no,no,1,1093,1093,0,5,yellow,topLeft,number,even,repeat,1
1,8,8,12586,no,no,1,751,751,0,2,yellow,topRight,number,odd,repeat,1
1,9,9,13550,yes,yes,1,639,639,0,2,orange,topLeft,number,even,repeat,1
1,10,10,14398,yes,yes,1,1016,1016,0,2,green,topLeft,number,even,repeat,1
1,11,11,15628,no,no,1,818,818,0,6,red,topRight,number,odd,repeat,1
1,12,12,16658,no,no,1,803,803,0,1,orange,topLeft,number,even,repeat,1
1,13,13,17672,yes,yes,1,728,728,0,1,blue,topRight,number,odd,repeat,1
1,14,14,18603,yes,no,-1,1095,1095,0,9,blue,topLeft,number,even,repeat,1
1,15,15,19899,no,yes,-1,814,814,0,1,green,topRight,number,odd,repeat,1
1,16,16,20913,no,no,1,1233,1233,0,0,green,topRight,number,odd,repeat,1
1,17,17,22359,yes,yes,1,627,627,0,7,purple,topRight,number,odd,repeat,1
1,18,18,23190,yes,yes,1,1596,1596,0,9,red,topRight,number,odd,repeat,1
1,19,19,25002,yes,yes,1,849,849,0,4,red,topLeft,number,even,repeat,1
1,20,20,26066,no,yes,-1,737,737,0,1,purple,topRight,number,odd,repeat,1
1,21,21,27013,yes,yes,1,1689,1689,0,4,blue,topLeft,number,even,repeat,1
1,22,22,28908,no,no,1,1594,1594,0,1,orange,topLeft,number,even,repeat,1
1,23,23,30703,no,no,1,1001,1001,0,8,blue,topRight,number,odd,repeat,1
1,24,24,31917,yes,yes,1,858,858,0,0,red,topLeft,number,even,repeat,1
1,25,25,32980,yes,yes,1,746,746,0,9,blue,topRight,number,odd,repeat,1
1,26,26,33928,yes,yes,1,487,487,0,5,green,topRight,number,odd,repeat,1
