SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,brainShift
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-07T19:13:16.065Z
sessionDurationMs,219104
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,3000/2200/1500
switchRates,0/0.4/0.6
itiMs,200
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusNumber,stimulusColor,stimulusPosition,taskDomain,expectedCategory,switchType,labelsVisible
1,1,1,4478,no,no,1,1206,1206,0,2,green,topRight,number,odd,first,1
1,2,2,5889,yes,yes,1,1028,1028,0,2,yellow,topLeft,number,even,repeat,1
1,3,3,7119,yes,yes,1,949,949,0,9,blue,topRight,number,odd,repeat,1
1,4,4,8283,no,no,1,948,948,0,6,blue,topRight,number,odd,repeat,1
1,5,5,9446,yes,yes,1,748,748,0,8,blue,topLeft,number,even,repeat,1
1,6,6,10410,no,yes,-1,1580,1580,0,3,blue,topRight,number,odd,repeat,1
1,7,7,12206,no,no,1,1361,1361,0,4,yellow,topRight,number,odd,repeat,1
1,8,8,13768,no,no,1,758,758,0,8,orange,topRight,number,odd,repeat,1
1,9,9,14732,yes,no,-1,907,907,0,3,green,topLeft,number,even,repeat,1
1,10,10,15845,no,no,1,807,807,0,9,red,topLeft,number,even,repeat,1
1,11,11,16859,no,no,1,522,522,0,9,blue,topLeft,number,even,repeat,1
1,12,12,17591,yes,yes,1,894,894,0,9,yellow,topRight,number,odd,repeat,1
1,13,13,18688,no,no,1,839,839,0,7,blue,topLeft,number,even,repeat,1
1,14,14,19735,yes,yes,1,825,825,0,6,purple,topLeft,number,even,repeat,1
1,15,15,20766,yes,no,-1,997,997,0,0,green,topRight,number,odd,repeat,1
1,16,16,21962,yes,yes,1,1493,1493,0,6,blue,topLeft,number,even,repeat,1
1,17,17,23658,yes,yes,1,758,758,0,8,purple,topLeft,number,even,repeat,1
1,18,18,24621,no,no,1,1155,1155,0,6,yellow,topRight,number,odd,repeat,1
1,19,19,25985,no,no,1,1164,1164,0,0,red,topRight,number,odd,repeat,1
1,20,20,27364,no,no,1,628,628,0,8,green,topRight,number,odd,repeat,1
1,21,21,28195,yes,yes,1,586,586,0,7,blue,topRight,number,odd,repeat,1
1,22,22,28993,yes,yes,1,602,602,0,5,green,topRight,number,odd,repeat,1
1,23,23,29808,yes,yes,1,798,798,0,4,green,topLeft,number,even,repeat,1
1,24,24,30821,no,no,1,791,791,0,3,orange,topLeft,number,even,repeat,1
1,25,25,31819,no,no,1,948,948,0,4,yellow,topRight,number,odd,repeat,1
1,26,26,32982,yes,yes,1,1060,1060,0,1,orange,topRight,number,odd,repeat,1
1,27,27,34245,yes,yes,1,500,500,0,3,blue,topRight,number,odd,repeat,1
1,28,28,34960,yes,yes,1,2263,2263,0,8,orange,topLeft,number,even,repeat,1
1,29,29,37437,no,yes,-1,1941,1941,0,7,yellow,topRight,number,odd,repeat,1
1,30,30,39581,yes,yes,1,894,894,0,6,green,topLeft,number,even,repeat,1
1,31,31,40678,no,no,1,906,906,0,3,blue,topLeft,number,even,repeat,1
1,32,32,41791,yes,yes,1,964,964,0,7,blue,topRight,number,odd,repeat,1
1,33,33,42971,yes,yes,1,1492,1492,0,2,orange,topLeft,number,even,repeat,1
1,34,34,44667,yes,yes,1,1043,1043,0,3,purple,topRight,number,odd,repeat,1
1,35,35,45913,no,no,1,1456,1456,0,5,red,topLeft,number,even,repeat,1
1,36,36,47576,no,no,1,877,877,0,3,orange,topLeft,number,even,repeat,1
1,37,37,48656,no,no,1,967,967,0,8,red,topRight,number,odd,repeat,1
1,38,38,49836,no,no,1,1256,1256,0,5,purple,topLeft,number,even,repeat,1
1,39,39,51299,no,no,1,1008,1008,0,5,yellow,topLeft,number,even,repeat,1
1,40,40,52512,yes,yes,1,932,932,0,8,orange,topLeft,number,even,repeat,1
2,41,1,76913,no,no,1,1250,1250,0,8,orange,topRight,number,odd,first,1
2,42,2,78375,no,no,1,1458,1458,0,9,orange,bottomRight,color,cool,switch,1
2,43,3,80037,yes,yes,1,923,923,0,5,red,bottomLeft,color,warm,repeat,1
2,44,4,81167,yes,yes,1,977,977,0,6,green,bottomRight,color,cool,repeat,1
2,45,5,82348,no,no,1,1124,1124,0,0,green,bottomLeft,color,warm,repeat,1
2,46,6,83677,yes,yes,1,1182,1182,0,0,purple,bottomRight,color,cool,repeat,1
2,47,7,85073,yes,yes,1,951,951,0,6,yellow,topLeft,number,even,switch,1
2,48,8,86237,no,no,1,1007,1007,0,7,blue,topLeft,number,even,repeat,1
2,49,9,87450,yes,yes,1,801,801,0,4,blue,topLeft,number,even,repeat,1
2,50,10,88464,no,no,1,1416,1416,0,7,red,bottomRight,color,cool,switch,1
2,51,11,90093,yes,yes,1,1291,1291,0,1,orange,topRight,number,odd,switch,1
2,52,12,91589,no,yes,-1,1232,1232,0,6,green,bottomRight,color,cool,switch,1
2,53,13,93035,yes,yes,1,1039,1039,0,9,yellow,bottomLeft,color,warm,repeat,1
2,54,14,94281,no,no,1,967,967,0,7,orange,topLeft,number,even,switch,1
2,55,15,95462,yes,yes,1,683,683,0,4,yellow,topLeft,number,even,repeat,1
2,56,16,96359,yes,yes,1,800,800,0,8,green,topLeft,number,even,repeat,1
2,57,17,97373,no,no,1,1067,1067,0,3,yellow,topLeft,number,even,repeat,1
2,58,18,98653,no,no,1,1779,1779,0,4,red,bottomRight,color,cool,switch,1
2,59,19,100648,no,no,1,1326,1326,0,1,blue,topLeft,number,even,switch,1
2,60,20,102177,no,no,1,1376,1376,0,7,blue,bottomLeft,color,warm,switch,1
2,61,21,103756,yes,yes,1,1058,1058,0,7,yellow,topRight,number,odd,switch,1
2,62,22,105019,no,no,1,1091,1091,0,1,purple,topLeft,number,even,repeat,1
2,63,23,106315,yes,yes,1,1158,1158,0,9,green,bottomRight,color,cool,switch,1
2,64,24,107678,no,no,1,800,800,0,9,purple,topLeft,number,even,switch,1
2,65,25,108692,yes,yes,1,685,685,0,2,green,topLeft,number,even,repeat,1
2,66,26,109590,yes,yes,1,708,708,0,8,orange,topLeft,number,even,repeat,1
2,67,27,110504,yes,yes,1,1041,1041,0,7,red,topRight,number,odd,repeat,1
2,68,28,111751,yes,yes,1,829,829,0,6,purple,topLeft,number,even,repeat,1
2,69,29,112781,yes,yes,1,458,458,0,8,yellow,topLeft,number,even,repeat,1
2,70,30,113446,yes,yes,1,1338,1338,0,7,yellow,bottomLeft,color,warm,switch,1
2,71,31,114992,no,no,1,779,779,0,8,yellow,bottomRight,color,cool,repeat,1
2,72,32,115973,no,no,1,1277,1277,0,4,blue,topRight,number,odd,switch,1
2,73,33,117452,no,no,1,1287,1287,0,5,orange,topLeft,number,even,repeat,1
2,74,34,118948,yes,no,-1,679,679,0,1,red,topLeft,number,even,repeat,1
2,75,35,119829,no,no,1,652,652,0,9,red,topLeft,number,even,repeat,1
2,76,36,120693,no,no,1,713,713,0,1,blue,topLeft,number,even,repeat,1
2,77,37,121607,no,no,1,443,443,0,7,red,topLeft,number,even,repeat,1
2,78,38,122255,yes,yes,1,558,558,0,8,red,topLeft,number,even,repeat,1
2,79,39,123020,yes,yes,1,1166,1166,0,1,purple,bottomRight,color,cool,switch,1
2,80,40,124400,no,no,1,1093,1093,0,3,orange,topLeft,number,even,switch,1
3,81,1,155099,yes,yes,1,1388,1388,0,5,orange,topRight,number,odd,first,0
3,82,2,156694,timeout,yes,0,1500,1500,0,9,orange,bottomLeft,color,warm,switch,0
3,83,3,158423,timeout,no,0,1500,1500,0,2,red,topRight,number,odd,switch,0
3,84,4,160151,no,no,1,2,2,1,7,red,topLeft,number,even,repeat,0
3,85,5,160368,yes,yes,1,873,873,0,7,red,topRight,number,odd,repeat,0
3,86,6,161449,no,no,1,1338,1338,0,2,yellow,bottomRight,color,cool,switch,0
3,87,7,162994,no,no,1,822,822,0,3,yellow,topLeft,number,even,switch,0
3,88,8,164025,yes,yes,1,1087,1087,0,2,purple,bottomRight,color,cool,switch,0
3,89,9,165321,no,no,1,1022,1022,0,0,green,topRight,number,odd,switch,0
3,90,10,166551,timeout,yes,0,1500,1500,0,0,red,topLeft,number,even,repeat,0
3,91,11,168280,yes,yes,1,877,877,0,5,purple,topRight,number,odd,repeat,0
3,92,12,169360,yes,yes,1,522,522,0,3,blue,topRight,number,odd,repeat,0
3,93,13,170092,no,no,1,910,910,0,1,blue,bottomLeft,color,warm,switch,0
3,94,14,171205,no,no,1,1214,1214,0,7,orange,topLeft,number,even,switch,0
3,95,15,172634,no,no,1,835,835,0,4,yellow,bottomRight,color,cool,switch,0
3,96,16,173682,no,no,1,970,970,0,6,orange,topRight,number,odd,switch,0
3,97,17,174862,no,no,1,542,542,0,8,orange,topRight,number,odd,repeat,0
3,98,18,175609,yes,yes,1,1097,1097,0,2,red,bottomLeft,color,warm,switch,0
3,99,19,176906,timeout,yes,0,1500,1500,0,0,blue,topLeft,number,even,switch,0
3,100,20,178635,no,no,1,1509,1509,0,8,red,bottomRight,color,cool,switch,0
3,101,21,180347,yes,yes,1,1110,1110,0,7,green,topRight,number,odd,switch,0
3,102,22,181660,yes,yes,1,1056,1056,0,0,purple,bottomRight,color,cool,switch,0
3,103,23,182923,yes,yes,1,1455,1455,0,3,green,topRight,number,odd,switch,0
3,104,24,184585,yes,yes,1,641,641,0,5,yellow,topRight,number,odd,repeat,0
3,105,25,185433,no,no,1,1157,1157,0,9,blue,bottomLeft,color,warm,switch,0
3,106,26,186796,yes,yes,1,1014,1014,0,0,green,topLeft,number,even,switch,0
3,107,27,188026,yes,yes,1,1383,1383,0,5,purple,topRight,number,odd,repeat,0
3,108,28,189622,yes,yes,1,1342,1342,0,9,green,bottomRight,color,cool,switch,0
3,109,29,191167,no,no,1,946,946,0,9,yellow,topLeft,number,even,switch,0
3,110,30,192314,no,yes,-1,975,975,0,5,green,topRight,number,odd,repeat,0
3,111,31,193494,no,no,1,1267,1267,0,0,yellow,topRight,number,odd,repeat,0
3,112,32,194974,no,no,1,976,976,0,3,red,topLeft,number,even,repeat,0
3,113,33,196154,yes,yes,1,1066,1066,0,9,orange,topRight,number,odd,repeat,0
3,114,34,197433,timeout,no,0,1500,1500,0,7,red,bottomRight,color,cool,switch,0
3,115,35,199162,yes,yes,1,1024,1024,0,1,blue,bottomRight,color,cool,repeat,0
