SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,chalkboardChallenge
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-08T09:54:43.667Z
sessionDurationMs,956712
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,6000/5000/4000
diffRatioBands,0.3-0.6/0.15-0.3/0.1-0.15
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,leftExpr,rightExpr,leftValue,rightValue,diffRatio,operators,nTermsLeft,nTermsRight,hasPrecedence
1,1,1,439736,left,left,1,1588,1588,0,42 + 39,15 + 41,81,56,0.3086,+,2,2,0
1,2,2,441481,right,right,1,1388,1388,0,15 + 26,35 + 29,41,64,0.3594,+,2,2,0
1,3,3,443027,right,right,1,2771,2771,0,3 + 10,18 + 3,13,21,0.381,+,2,2,0
1,4,4,445953,left,left,1,2048,2048,0,37 + 37,24 + 23,74,47,0.3649,+,2,2,0
1,5,5,448163,left,left,1,1210,1210,0,29 + 23,7 + 29,52,36,0.3077,+,2,2,0
1,6,6,449526,right,right,1,1224,1224,0,12 + 35,48 + 32,47,80,0.4125,+,2,2,0
1,7,7,450906,right,right,1,1671,1671,0,7 + 27,39 + 11,34,50,0.32,+,2,2,0
1,8,8,452734,left,left,1,1133,1133,0,43 + 21,24 + 19,64,43,0.3281,+,2,2,0
1,9,9,454030,right,right,1,1437,1437,0,43 - 19,20 + 26,24,46,0.4783,"+,-",2,2,0
1,10,10,455626,right,right,1,2003,2003,0,47 - 20,45 - 1,27,44,0.3864,-,2,2,0
1,11,11,457787,right,right,1,1142,1142,0,12 + 16,28 + 34,28,62,0.5484,+,2,2,0
1,12,12,459083,right,right,1,897,897,0,20 + 14,25 + 33,34,58,0.4138,+,2,2,0
1,13,13,460131,left,left,1,922,922,0,49 + 29,43 + 1,78,44,0.4359,+,2,2,0
1,14,14,461211,left,left,1,1761,1761,0,36 + 44,8 + 25,80,33,0.5875,+,2,2,0
1,15,15,463122,right,right,1,1050,1050,0,39 - 14,48 + 13,25,61,0.5902,"+,-",2,2,0
1,16,16,464336,right,right,1,963,963,0,30 + 4,30 + 36,34,66,0.4848,+,2,2,0
1,17,17,465449,right,left,-1,1354,1354,0,50 + 37,25 + 27,87,52,0.4023,+,2,2,0
1,18,18,466962,left,left,1,1242,1242,0,46 + 32,4 + 49,78,53,0.3205,+,2,2,0
1,19,19,468358,left,left,1,1349,1349,0,38 + 9,14 + 8,47,22,0.5319,+,2,2,0
1,20,20,469871,left,left,1,1325,1325,0,42 + 29,26 + 18,71,44,0.3803,+,2,2,0
1,21,21,471350,left,left,1,1344,1344,0,8 + 39,35 - 12,47,23,0.5106,"+,-",2,2,0
1,22,22,472846,left,left,1,994,994,0,39 + 40,42 - 10,79,32,0.5949,"+,-",2,2,0
1,23,23,473993,right,right,1,1654,1654,0,43 - 22,45 + 2,21,47,0.5532,"+,-",2,2,0
1,24,24,475804,left,left,1,1105,1105,0,14 + 49,43 - 12,63,31,0.5079,"+,-",2,2,0
1,25,25,477068,right,right,1,975,975,0,33 - 10,36 + 21,23,57,0.5965,"+,-",2,2,0
1,26,26,478198,right,right,1,825,825,0,36 + 3,43 + 47,39,90,0.5667,+,2,2,0
1,27,27,479179,right,right,1,1293,1293,0,27 + 21,35 + 41,48,76,0.3684,+,2,2,0
1,28,28,480625,left,left,1,2818,2818,0,12 + 9,34 - 25,21,9,0.5714,"+,-",2,2,0
1,29,29,483600,left,left,1,2061,2061,0,23 + 45,14 + 18,68,32,0.5294,+,2,2,0
1,30,30,485827,right,right,1,1506,1506,0,18 + 19,40 + 20,37,60,0.3833,+,2,2,0
1,31,31,487489,left,left,1,1513,1513,0,18 + 50,15 + 13,68,28,0.5882,+,2,2,0
1,32,32,489168,left,left,1,1138,1138,0,27 + 28,30 - 7,55,23,0.5818,"+,-",2,2,0
1,33,33,490464,right,right,1,5078,5078,0,46 - 38,8 + 6,8,14,0.4286,"+,-",2,2,0
1,34,34,495700,right,right,1,1040,1040,0,34 - 1,29 + 46,33,75,0.56,"+,-",2,2,0
