SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,goNogo
inputDevice,keyboard_space
phase,assessment
sessionStartUTC,2026-07-07T21:35:00.610Z
sessionDurationMs,206775
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,1500/1000/700
itiMs,150
trialsPerLevel,40
goRatio,0.6

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusColor,stimulusShape,isGoTargetColor,isGoTargetShape,sdtOutcome
1,1,1,9224,go,go,1,585,585,0,green,circle,1,1,hit
1,2,2,9972,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,3,3,11650,go,go,1,571,571,0,green,circle,1,1,hit
1,4,4,12382,go,go,1,500,500,0,green,circle,1,1,hit
1,5,5,13047,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,6,6,14725,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,7,7,16404,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,8,8,18083,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,9,9,19762,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,10,10,21441,go,go,1,373,373,0,green,circle,1,1,hit
1,11,11,21972,go,go,1,487,487,0,green,circle,1,1,hit
1,12,12,22620,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,13,13,24299,go,go,1,740,740,0,green,circle,1,1,hit
1,14,14,25197,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,15,15,26892,go,go,1,383,383,0,green,circle,1,1,hit
1,16,16,27441,go,go,1,428,428,0,green,circle,1,1,hit
1,17,17,28023,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,18,18,29701,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,19,19,31380,go,go,1,400,400,0,green,circle,1,1,hit
1,20,20,31945,go,go,1,484,484,0,green,circle,1,1,hit
1,21,21,32593,go,go,1,440,440,0,green,circle,1,1,hit
1,22,22,33192,go,go,1,415,415,0,green,circle,1,1,hit
1,23,23,33757,go,go,1,397,397,0,green,circle,1,1,hit
1,24,24,34305,go,go,1,396,396,0,green,circle,1,1,hit
1,25,25,34854,go,go,1,321,321,0,green,circle,1,1,hit
1,26,26,35336,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,27,27,37015,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,28,28,38693,go,go,1,376,376,0,green,circle,1,1,hit
1,29,29,39225,go,go,1,282,282,0,green,circle,1,1,hit
1,30,30,39674,go,go,1,281,281,0,green,circle,1,1,hit
1,31,31,40106,go,go,1,301,301,0,green,circle,1,1,hit
1,32,32,40572,go,nogo,-1,240,240,0,green,square,1,0,falseAlarm
1,33,33,40970,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,34,34,42649,go,go,1,440,440,0,green,circle,1,1,hit
1,35,35,43248,go,go,1,327,327,0,green,circle,1,1,hit
1,36,36,43730,go,go,1,384,384,0,green,circle,1,1,hit
1,37,37,44278,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,38,38,45957,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,39,39,47636,go,go,1,470,470,0,green,circle,1,1,hit
1,40,40,48267,go,go,1,467,467,0,green,circle,1,1,hit
2,41,1,99428,nogo,nogo,1,1000,1000,0,blue,circle,1,1,correctRejection
2,42,2,100608,go,go,1,417,417,0,blue,square,1,1,hit
2,43,3,101189,nogo,nogo,1,1000,1000,0,blue,circle,1,1,correctRejection
2,44,4,102370,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,45,5,103550,nogo,nogo,1,1000,1000,0,blue,circle,1,1,correctRejection
2,46,6,104730,go,go,1,474,474,0,green,circle,1,1,hit
2,47,7,105361,go,go,1,639,639,0,green,circle,1,1,hit
2,48,8,106159,go,go,1,578,578,0,blue,square,1,1,hit
2,49,9,106890,go,go,1,500,500,0,green,circle,1,1,hit
2,50,10,107555,go,go,1,474,474,0,blue,square,1,1,hit
2,51,11,108187,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,52,12,109367,go,go,1,524,524,0,blue,square,1,1,hit
2,53,13,110049,go,go,1,444,444,0,blue,square,1,1,hit
2,54,14,110664,go,go,1,390,390,0,blue,square,1,1,hit
2,55,15,111212,go,go,1,457,457,0,blue,square,1,1,hit
2,56,16,111827,go,go,1,527,527,0,green,circle,1,1,hit
2,57,17,112509,go,go,1,362,362,0,green,circle,1,1,hit
2,58,18,113024,go,go,1,667,667,0,blue,square,1,1,hit
2,59,19,113855,go,go,1,399,399,0,green,circle,1,1,hit
2,60,20,114420,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,61,21,115600,go,nogo,-1,500,500,0,blue,circle,1,1,falseAlarm
2,62,22,116265,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,63,23,117445,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,64,24,118625,go,go,1,457,457,0,green,circle,1,1,hit
2,65,25,119240,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,66,26,120421,go,go,1,401,401,0,blue,square,1,1,hit
2,67,27,120986,go,go,1,380,380,0,blue,square,1,1,hit
2,68,28,121518,go,go,1,506,506,0,green,circle,1,1,hit
2,69,29,122182,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,70,30,123363,go,go,1,516,516,0,green,circle,1,1,hit
2,71,31,124044,go,go,1,367,367,0,green,circle,1,1,hit
2,72,32,124575,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,73,33,125756,go,go,1,617,617,0,blue,square,1,1,hit
2,74,34,126537,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,75,35,127717,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,76,36,128897,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,77,37,130078,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,78,38,131257,go,go,1,492,492,0,green,circle,1,1,hit
2,79,39,131906,go,go,1,475,475,0,blue,square,1,1,hit
2,80,40,132537,go,go,1,619,619,0,green,circle,1,1,hit
3,81,1,149308,go,go,1,430,430,0,blue,square,1,1,hit
3,82,2,149890,go,go,1,392,392,0,red,triangle,1,1,hit
3,83,3,150439,nogo,nogo,1,700,700,0,green,triangle,1,1,correctRejection
3,84,4,151320,go,go,1,530,530,0,green,circle,1,1,hit
3,85,5,152001,go,nogo,-1,503,503,0,red,circle,1,1,falseAlarm
3,86,6,152666,go,go,1,590,590,0,blue,square,1,1,hit
3,87,7,153414,go,go,1,579,579,0,blue,square,1,1,hit
3,88,8,154145,nogo,go,-1,700,700,0,red,triangle,1,1,miss
3,89,9,155026,go,go,1,459,459,0,blue,square,1,1,hit
3,90,10,155641,nogo,go,-1,700,700,0,red,triangle,1,1,miss
3,91,11,156522,nogo,nogo,1,700,700,0,red,square,1,1,correctRejection
3,92,12,157403,nogo,nogo,1,700,700,0,red,square,1,1,correctRejection
3,93,13,158284,go,go,1,424,424,0,green,circle,1,1,hit
3,94,14,158866,go,go,1,350,350,0,green,circle,1,1,hit
3,95,15,159381,go,go,1,413,413,0,blue,square,1,1,hit
3,96,16,159946,go,go,1,402,402,0,green,circle,1,1,hit
3,97,17,160511,nogo,nogo,1,700,700,0,blue,circle,1,1,correctRejection
3,98,18,161392,go,nogo,-1,390,390,0,green,triangle,1,1,falseAlarm
3,99,19,161941,go,nogo,-1,594,594,0,green,square,1,1,falseAlarm
3,100,20,162689,go,go,1,677,677,0,blue,square,1,1,hit
3,101,21,163520,nogo,nogo,1,700,700,0,blue,circle,1,1,correctRejection
3,102,22,164400,go,go,1,547,547,0,red,triangle,1,1,hit
3,103,23,165099,go,nogo,-1,528,528,0,green,square,1,1,falseAlarm
3,104,24,165780,nogo,nogo,1,700,700,0,blue,triangle,1,1,correctRejection
3,105,25,166661,nogo,nogo,1,700,700,0,red,circle,1,1,correctRejection
3,106,26,167559,go,go,1,539,539,0,red,triangle,1,1,hit
3,107,27,168257,go,nogo,-1,608,608,0,blue,circle,1,1,falseAlarm
3,108,28,169021,nogo,nogo,1,700,700,0,green,triangle,1,1,correctRejection
3,109,29,169902,nogo,nogo,1,700,700,0,red,circle,1,1,correctRejection
3,110,30,170783,nogo,go,-1,700,700,0,red,triangle,1,1,miss
3,111,31,171664,nogo,go,-1,700,700,0,red,triangle,1,1,miss
3,112,32,172545,go,go,1,31,31,1,green,circle,1,1,hit
3,113,33,172728,nogo,go,-1,700,700,0,blue,square,1,1,miss
3,114,34,173609,go,go,1,541,541,0,green,circle,1,1,hit
3,115,35,174307,nogo,go,-1,700,700,0,red,triangle,1,1,miss
3,116,36,175188,go,go,1,90,90,1,green,circle,1,1,hit
3,117,37,175437,go,go,1,483,483,0,green,circle,1,1,hit
3,118,38,176085,nogo,nogo,1,700,700,0,blue,triangle,1,1,correctRejection
3,119,39,176966,go,nogo,-1,539,539,0,green,square,1,1,falseAlarm
3,120,40,177664,go,go,1,463,463,0,blue,square,1,1,hit
