SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,goNogo
inputDevice,keyboard_space
phase,assessment
sessionStartUTC,2026-07-07T18:53:03.791Z
sessionDurationMs,174986
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,1500/1000/700
itiMs,150
trialsPerLevel,40
goRatio,0.6

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusColor,stimulusShape,isGoTargetColor,isGoTargetShape,sdtOutcome
1,1,1,2695,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,2,2,4374,go,go,1,421,421,0,green,circle,1,1,hit
1,3,3,4955,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,4,4,6634,nogo,go,-1,1500,1500,0,green,circle,1,1,miss
1,5,5,8313,go,go,1,581,581,0,green,circle,1,1,hit
1,6,6,9061,go,go,1,560,560,0,green,circle,1,1,hit
1,7,7,9776,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,8,8,11455,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,9,9,13133,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,10,10,14829,go,go,1,388,388,0,green,circle,1,1,hit
1,11,11,15377,go,go,1,322,322,0,green,circle,1,1,hit
1,12,12,15859,go,go,1,297,297,0,green,circle,1,1,hit
1,13,13,16308,go,go,1,400,400,0,green,circle,1,1,hit
1,14,14,16873,go,go,1,262,262,0,green,circle,1,1,hit
1,15,15,17288,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,16,16,18967,go,go,1,395,395,0,green,circle,1,1,hit
1,17,17,19516,go,nogo,-1,368,368,0,green,square,1,0,falseAlarm
1,18,18,20048,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,19,19,21726,go,go,1,465,465,0,green,circle,1,1,hit
1,20,20,22342,go,go,1,559,559,0,green,circle,1,1,hit
1,21,21,23056,go,nogo,-1,301,301,0,red,circle,0,1,falseAlarm
1,22,22,23521,go,go,1,558,558,0,green,circle,1,1,hit
1,23,23,24236,go,go,1,341,341,0,green,circle,1,1,hit
1,24,24,24735,go,go,1,435,435,0,green,circle,1,1,hit
1,25,25,25333,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,26,26,27012,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,27,27,28691,go,go,1,425,425,0,green,circle,1,1,hit
1,28,28,29273,go,go,1,295,295,0,green,circle,1,1,hit
1,29,29,29721,go,go,1,251,251,0,green,circle,1,1,hit
1,30,30,30137,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,31,31,31815,go,go,1,446,446,0,green,circle,1,1,hit
1,32,32,32414,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,33,33,34093,go,go,1,446,446,0,green,circle,1,1,hit
1,34,34,34691,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,35,35,36370,go,go,1,475,475,0,green,circle,1,1,hit
1,36,36,37002,go,go,1,427,427,0,green,circle,1,1,hit
1,37,37,37583,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,38,38,39262,go,go,1,494,494,0,green,circle,1,1,hit
1,39,39,39910,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,40,40,41589,go,go,1,420,420,0,green,circle,1,1,hit
2,41,1,67785,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,42,2,68964,go,go,1,559,559,0,blue,square,1,1,hit
2,43,3,69679,go,go,1,459,459,0,green,circle,1,1,hit
2,44,4,70294,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,45,5,71474,go,go,1,378,378,0,blue,square,1,1,hit
2,46,6,72006,go,go,1,374,374,0,blue,square,1,1,hit
2,47,7,72538,go,go,1,424,424,0,green,circle,1,1,hit
2,48,8,73120,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,49,9,74300,go,go,1,523,523,0,blue,square,1,1,hit
2,50,10,74981,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,51,11,76162,go,go,1,480,480,0,blue,square,1,1,hit
2,52,12,76793,go,go,1,391,391,0,green,circle,1,1,hit
2,53,13,77342,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,54,14,78505,go,go,1,453,453,0,green,circle,1,1,hit
2,55,15,79120,go,go,1,307,307,0,green,circle,1,1,hit
2,56,16,79585,go,go,1,490,490,0,blue,square,1,1,hit
2,57,17,80234,go,go,1,318,318,0,blue,square,1,1,hit
2,58,18,80716,go,go,1,278,278,0,blue,square,1,1,hit
2,59,19,81148,go,go,1,434,434,0,green,circle,1,1,hit
2,60,20,81746,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,61,21,82926,go,go,1,440,440,0,green,circle,1,1,hit
2,62,22,83525,go,go,1,293,293,0,green,circle,1,1,hit
2,63,23,83973,go,go,1,292,292,0,green,circle,1,1,hit
2,64,24,84422,nogo,nogo,1,1000,1000,0,blue,circle,1,1,correctRejection
2,65,25,85602,go,go,1,578,578,0,blue,square,1,1,hit
2,66,26,86334,go,go,1,414,414,0,green,circle,1,1,hit
2,67,27,86899,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,68,28,88079,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,69,29,89259,go,go,1,540,540,0,blue,square,1,1,hit
2,70,30,89957,go,nogo,-1,424,424,0,blue,circle,1,1,falseAlarm
2,71,31,90539,go,go,1,651,651,0,blue,square,1,1,hit
2,72,32,91353,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,73,33,92533,go,nogo,-1,407,407,0,blue,circle,1,1,falseAlarm
2,74,34,93098,go,go,1,590,590,0,green,circle,1,1,hit
2,75,35,93846,go,nogo,-1,407,407,0,green,square,1,1,falseAlarm
2,76,36,94412,go,nogo,-1,888,888,0,blue,circle,1,1,falseAlarm
2,77,37,95459,go,go,1,552,552,0,green,circle,1,1,hit
2,78,38,96173,go,go,1,617,617,0,blue,square,1,1,hit
2,79,39,96955,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,80,40,98135,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
3,81,1,119843,go,go,1,575,575,0,green,circle,1,1,hit
3,82,2,120574,go,go,1,451,451,0,red,triangle,1,1,hit
3,83,3,121206,go,go,1,376,376,0,red,triangle,1,1,hit
3,84,4,121738,go,go,1,489,489,0,green,circle,1,1,hit
3,85,5,122386,go,go,1,344,344,0,green,circle,1,1,hit
3,86,6,122884,nogo,nogo,1,700,700,0,red,circle,1,1,correctRejection
3,87,7,123765,go,go,1,612,612,0,green,circle,1,1,hit
3,88,8,124529,go,go,1,510,510,0,blue,square,1,1,hit
3,89,9,125194,go,go,1,400,400,0,blue,square,1,1,hit
3,90,10,125759,nogo,nogo,1,700,700,0,red,square,1,1,correctRejection
3,91,11,126640,go,go,1,631,631,0,blue,square,1,1,hit
3,92,12,127421,go,go,1,569,569,0,red,triangle,1,1,hit
3,93,13,128153,go,go,1,474,474,0,green,circle,1,1,hit
3,94,14,128785,nogo,nogo,1,700,700,0,red,square,1,1,correctRejection
3,95,15,129665,go,nogo,-1,380,380,0,blue,circle,1,1,falseAlarm
