SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-08T09:14:58.433Z
sessionDurationMs,578353
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,6000/6000/6000
itiMs,150
stimulusMs,1500
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx
1,1,1,84428,done,done,1,5173,2673,0,1,4,4,"3,2;3,3;2,3;1,2","1,2;2,3;3,3;3,2",4,0,0,1,735;1294;1655;1943,0,588,168,90
1,2,2,89764,done,done,1,5956,3456,0,1,4,4,"0,2;1,1;3,0;0,0","0,2;1,1;0,0;3,0",4,0,0,1,791;1119;1511;2222,1,588,168,90
1,3,3,95881,done,done,1,5249,2749,0,1,4,4,"1,3;2,3;0,0;2,0","1,3;2,3;2,0;0,0",4,0,0,1,683;978;1563;1946,0,588,168,90
1,4,4,101282,done,done,-1,6181,3681,0,1,4,4,"1,1;1,3;0,0;2,2","0,0;1,1;1,2;2,2;1,3",4,0,1,1,722;1074;1432;2825;3201,0,588,168,90
1,5,5,107615,done,done,1,5587,3087,0,1,4,4,"3,3;0,1;1,3;2,2","0,1;1,3;2,2;3,3",4,0,0,1,836;1492;1956;2444,0,588,168,90
1,6,6,113366,done,done,1,5219,2719,0,1,4,4,"1,1;2,2;3,2;2,1","1,1;2,1;2,2;3,2",4,0,0,1,591;1013;1413;1740,1,588,168,90
1,7,7,118735,done,done,1,5017,2517,0,1,4,4,"2,3;1,1;2,2;3,3","1,1;2,2;2,3;3,3",4,0,0,1,667;1156;1596;1931,0,588,168,90
1,8,8,123904,done,done,1,6729,4229,0,2,4,5,"3,1;0,1;1,3;2,3;1,2","0,1;3,1;1,2;1,3;2,3",5,0,0,1,1018;1643;2106;2468;2843,1,588,168,90
1,9,9,130785,done,done,1,5911,3411,0,2,4,5,"1,1;1,2;2,3;2,0;2,2","1,1;1,2;2,2;2,3;2,0",5,0,0,1,633;1010;1362;1994;2683,0,588,168,90
1,10,10,136852,done,done,1,5742,3242,0,2,4,5,"1,0;0,3;1,3;1,1;2,1","0,3;1,3;1,0;1,1;2,1",5,0,0,1,890;1263;1904;2270;2630,0,588,168,90
1,11,11,142753,done,done,1,5665,3165,0,2,4,5,"2,2;1,2;3,0;0,0;3,2","1,2;2,2;3,2;3,0;0,0",5,0,0,1,562;882;1243;1658;2419,0,588,168,90
1,12,12,148570,done,done,1,6294,3794,0,2,4,5,"1,1;0,1;3,3;0,2;2,0","3,3;0,2;0,1;1,1;2,0",5,0,0,1,849;1506;1920;2264;2896,0,588,168,90
1,13,13,155019,done,done,1,5895,3395,0,2,4,5,"3,2;1,0;0,1;2,3;1,2","0,1;1,2;2,3;3,2;1,0",5,0,0,1,704;1143;1537;1991;2679,0,588,168,90
1,14,14,161069,done,done,1,6283,3783,0,3,4,6,"1,3;0,1;1,0;1,1;3,2;2,1","1,3;3,2;0,1;1,1;1,0;2,1",6,0,0,1,813;1310;1941;2246;2581;3015,0,588,168,90
1,15,15,167518,done,done,1,7226,4726,0,3,4,6,"3,3;2,3;2,1;0,3;0,1;1,3","0,3;1,3;2,3;3,3;0,1;2,1",6,0,0,1,876;1223;1764;2172;2966;3740,0,588,168,90
1,16,16,174898,done,done,1,5735,3235,0,3,4,6,"3,2;0,2;3,3;2,3;3,1;2,1","2,3;3,3;3,2;3,1;2,1;0,2",6,0,0,1,609;968;1345;1738;2064;2545,0,588,168,90
