SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-07T18:56:58.699Z
sessionDurationMs,497308
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,6000/6000/6000
itiMs,150
stimulusMs,1500
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx
1,1,1,13252,done,done,1,5171,2671,0,1,4,4,"0,3;3,0;1,3;2,0","0,3;1,3;2,0;3,0",4,0,0,1,829;1191;1853;2093,0,588,168,90
1,2,2,18587,done,done,1,4883,2383,0,1,4,4,"2,0;0,2;0,0;0,3","0,3;0,2;0,0;2,0",4,0,0,1,630;925;1398;1823,0,588,168,90
1,3,3,23623,done,done,1,4783,2283,0,1,4,4,"2,0;1,2;3,1;3,0","1,2;2,0;3,0;3,1",4,0,0,1,601;1081;1339;1625,0,588,168,90
1,4,4,28559,done,done,1,5039,2539,0,1,4,4,"1,1;2,0;1,0;3,3","3,3;1,1;1,0;2,0",4,0,0,1,659;1192;1506;1739,0,588,168,90
1,5,5,33762,done,done,1,4846,2346,0,1,4,4,"2,3;2,1;1,0;1,2","2,3;1,2;2,1;1,0",4,0,0,1,654;959;1325;1647,0,588,168,90
1,6,6,38765,done,done,1,5012,2512,0,1,4,4,"0,2;1,1;1,0;2,1","0,2;2,1;1,1;1,0",4,0,0,1,715;1083;1443;1763,0,588,168,90
1,7,7,43934,done,done,1,4936,2436,0,1,4,4,"0,3;2,0;2,1;0,2","0,2;0,3;2,1;2,0",4,0,0,1,594;939;1572;1842,0,588,168,90
1,8,8,49020,done,done,1,5396,2896,0,2,4,5,"3,1;3,3;1,0;1,1;2,0","3,3;3,1;1,1;1,0;2,0",5,0,0,1,684;1083;1499;1828;2131,0,588,168,90
1,9,9,54572,done,done,1,5845,3345,0,2,4,5,"1,1;1,3;3,1;0,0;0,3","0,3;1,3;1,1;0,0;3,1",5,0,0,1,790;1125;1565;1932;2364,1,588,168,90
1,10,10,60572,done,done,1,5242,2742,0,2,4,5,"0,3;2,0;3,0;1,1;1,0","0,3;1,1;1,0;2,0;3,0",5,0,0,1,693;1141;1420;1683;1940,0,588,168,90
1,11,11,65974,done,done,1,5545,3045,0,2,4,5,"2,0;0,2;0,0;0,3;1,3","0,2;0,3;1,3;0,0;2,0",5,0,0,1,601;843;1114;1681;2289,0,588,168,90
1,12,12,71675,done,done,1,5196,2696,0,2,4,5,"0,0;2,3;1,0;2,0;2,1","2,3;2,1;2,0;1,0;0,0",5,0,0,1,668;1174;1444;1700;2045,0,588,168,90
