trialIndexGlobal,timestampMs,mouseX,mouseY
1,13268,790,575
1,13384,790,575
1,13500,792,575
1,13600,796,573
1,13700,820,551
1,13816,822,448
1,13932,776,371
1,14049,780,307
1,14165,728,411
1,14265,730,419
1,14381,735,418
1,14514,681,423
1,14631,565,499
1,14747,624,543
1,14864,673,540
1,14980,675,492
1,15096,667,482
1,15196,670,471
1,15312,665,465
1,15412,665,462
1,15528,665,459
1,15645,665,457
1,15761,665,457
1,15878,768,348
1,15994,768,348
1,16094,768,348
1,16194,746,350
1,16309,690,401
1,16426,651,445
1,16542,630,460
1,16658,629,462
1,16775,706,464
1,16891,763,469
1,17007,763,469
1,17124,756,473
1,17240,796,343
1,17341,800,306
1,17456,815,280
1,17573,831,236
1,17689,831,236
1,17805,879,222
1,17905,882,222
1,18021,885,249
1,18137,872,529
1,18254,838,590
1,18354,825,588
1,18423,814,589
2,18603,814,590
2,18719,818,590
2,18836,820,582
2,18952,841,554
2,19052,853,520
2,19168,811,460
2,19285,716,294
2,19401,716,294
2,19518,716,294
2,19633,716,294
2,19750,716,294
2,19866,716,294
2,19983,716,294
2,20083,716,294
2,20199,716,294
2,20315,716,294
2,20431,716,294
2,20531,715,298
2,20647,715,298
2,20748,680,385
2,20864,654,463
2,20964,654,458
2,21080,653,456
2,21196,768,347
2,21312,768,343
2,21428,711,353
2,21545,647,454
2,21661,623,484
2,21778,623,486
2,21894,638,404
2,22011,646,372
2,22127,647,371
2,22227,647,371
2,22343,640,244
2,22459,640,242
2,22559,640,241
2,22675,760,230
2,22791,795,230
2,22908,804,229
2,23024,819,237
2,23140,807,460
2,23257,774,572
2,23373,753,586
2,23469,751,588
3,23640,751,591
3,23756,754,583
3,23872,766,511
3,23988,777,483
3,24088,816,466
3,24205,818,464
3,24321,818,464
3,24437,818,464
3,24554,818,464
3,24670,818,464
3,24786,818,464
3,24903,818,464
3,25019,818,464
3,25135,818,464
3,25252,818,464
3,25368,818,464
3,25468,818,464
3,25584,818,464
3,25700,818,464
3,25817,818,464
3,25933,818,464
3,26050,819,462
3,26165,766,342
3,26266,762,331
3,26382,801,303
3,26498,763,336
3,26614,734,384
3,26714,731,389
3,26830,731,389
3,26930,839,309
3,27047,853,259
3,27163,839,236
3,27279,839,236
3,27380,883,226
3,27495,906,220
3,27595,911,228
3,27712,905,328
3,27828,905,328
3,27944,870,373
3,28044,810,498
3,28160,774,556
3,28277,766,583
3,28393,764,588
3,28405,764,588
