SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,simon
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-07T21:31:29.944Z
sessionDurationMs,186745
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,2000/1200/800
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusPosition,congruency
1,1,1,11176,right,right,1,533,533,0,right,congruent
1,2,2,11874,right,right,1,453,453,0,right,congruent
1,3,3,12489,right,left,-1,663,663,0,left,congruent
1,4,4,13304,right,right,1,1039,1039,0,right,congruent
1,5,5,14500,right,right,1,789,789,0,left,incongruent
1,6,6,15448,right,right,1,685,685,0,right,congruent
1,7,7,16296,right,right,1,466,466,0,right,congruent
1,8,8,16927,left,left,1,673,673,0,left,congruent
1,9,9,17758,left,left,1,807,807,0,right,incongruent
1,10,10,18722,right,right,1,749,749,0,left,incongruent
1,11,11,19637,left,left,1,658,658,0,left,congruent
1,12,12,20451,left,left,1,458,458,0,left,congruent
1,13,13,21066,right,right,1,602,602,0,left,incongruent
1,14,14,21830,right,right,1,491,491,0,left,incongruent
1,15,15,22479,left,left,1,689,689,0,left,congruent
1,16,16,23326,right,right,1,412,412,0,left,incongruent
1,17,17,23891,left,left,1,701,701,0,right,incongruent
1,18,18,24756,left,left,1,424,424,0,right,incongruent
1,19,19,25338,left,left,1,542,542,0,left,congruent
1,20,20,26036,right,right,1,554,554,0,left,incongruent
1,21,21,26750,right,right,1,517,517,0,right,congruent
1,22,22,27432,left,left,1,680,680,0,left,congruent
1,23,23,28263,left,left,1,723,723,0,right,incongruent
1,24,24,29144,left,left,1,422,422,0,left,congruent
1,25,25,29725,left,left,1,367,367,0,right,incongruent
1,26,26,30257,left,left,1,518,518,0,right,incongruent
1,27,27,30939,left,left,1,359,359,0,right,incongruent
1,28,28,31454,right,right,1,443,443,0,right,congruent
1,29,29,32052,right,left,-1,540,540,0,left,congruent
1,30,30,32751,left,right,-1,478,478,0,left,incongruent
1,31,31,33382,right,right,1,560,560,0,right,congruent
1,32,32,34097,right,right,1,469,469,0,left,incongruent
1,33,33,34729,left,left,1,679,679,0,right,incongruent
1,34,34,35560,right,right,1,560,560,0,left,incongruent
1,35,35,36274,left,left,1,699,699,0,left,congruent
1,36,36,37139,right,right,1,518,518,0,right,congruent
1,37,37,37820,right,right,1,475,475,0,right,congruent
1,38,38,38452,right,right,1,643,643,0,left,incongruent
