SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,simon
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-07T18:48:30.152Z
sessionDurationMs,256177
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,2000/1200/800
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusPosition,congruency
1,1,1,4708,right,right,1,657,657,0,left,incongruent
1,2,2,5523,left,left,1,683,683,0,right,incongruent
1,3,3,6370,left,left,1,523,523,0,right,incongruent
1,4,4,7052,left,left,1,462,462,0,right,incongruent
1,5,5,7667,right,right,1,767,767,0,right,congruent
1,6,6,8598,right,right,1,457,457,0,right,congruent
1,7,7,9213,left,left,1,574,574,0,left,congruent
1,8,8,9944,right,right,1,657,657,0,left,incongruent
1,9,9,10759,left,left,1,559,559,0,left,congruent
1,10,10,11473,right,right,1,558,558,0,right,congruent
1,11,11,12188,left,left,1,562,562,0,left,congruent
1,12,12,12903,right,right,1,501,501,0,right,congruent
1,13,13,13567,right,right,1,479,479,0,right,congruent
1,14,14,14199,left,left,1,601,601,0,left,congruent
1,15,15,14963,right,right,1,434,434,0,right,congruent
1,16,16,15562,left,left,1,770,770,0,right,incongruent
1,17,17,16493,right,right,1,543,543,0,left,incongruent
1,18,18,17191,left,left,1,756,756,0,left,congruent
1,19,19,18105,right,right,1,595,595,0,left,incongruent
1,20,20,18853,left,left,1,666,666,0,right,incongruent
1,21,21,19684,left,left,1,604,604,0,left,congruent
1,22,22,20448,left,left,1,457,457,0,right,incongruent
1,23,23,21064,left,left,1,500,500,0,right,incongruent
1,24,24,21728,right,right,1,524,524,0,right,congruent
1,25,25,22410,right,right,1,595,595,0,right,congruent
1,26,26,23158,left,left,1,777,777,0,right,incongruent
1,27,27,24089,right,right,1,500,500,0,right,congruent
1,28,28,24754,left,left,1,506,506,0,left,congruent
1,29,29,25446,right,right,1,646,646,0,left,incongruent
1,30,30,26251,left,left,1,453,453,0,left,congruent
1,31,31,26865,right,right,1,461,461,0,left,incongruent
1,32,32,27479,right,right,1,673,673,0,left,incongruent
1,33,33,28311,left,left,1,665,665,0,left,congruent
1,34,34,29142,right,right,1,491,491,0,right,congruent
1,35,35,29790,left,left,1,566,566,0,left,congruent
1,36,36,30521,right,right,1,860,860,0,left,incongruent
1,37,37,31535,left,left,1,634,634,0,right,incongruent
1,38,38,32333,right,right,1,541,541,0,left,incongruent
1,39,39,33031,right,right,1,357,357,0,left,incongruent
1,40,40,33546,left,left,1,463,463,0,right,incongruent
2,41,1,42372,left,left,1,712,712,0,left,congruent
2,42,2,43236,center,center,1,727,727,0,right,incongruent
2,43,3,44117,center,center,1,545,545,0,center,congruent
2,44,4,44815,center,center,1,983,983,0,right,incongruent
2,45,5,45963,left,left,1,750,750,0,center,incongruent
2,46,6,46876,left,left,1,526,526,0,left,congruent
2,47,7,47558,center,center,1,1064,1064,0,right,incongruent
2,48,8,48788,center,center,1,779,779,0,left,incongruent
2,49,9,49719,center,center,1,441,441,0,left,incongruent
2,50,10,50317,left,left,1,623,623,0,left,congruent
2,51,11,51098,left,left,1,509,509,0,left,congruent
2,52,12,51763,left,left,1,651,651,0,right,incongruent
2,53,13,52578,right,right,1,906,906,0,left,incongruent
2,54,14,53642,right,right,1,659,659,0,right,congruent
2,55,15,54456,right,right,1,474,474,0,left,incongruent
