SESSION METADATA
participantID,1
sessionID,1
musicCondition,1
game,starSearch
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-08T09:24:47.723Z
sessionDurationMs,389419
windowWidth,1536
windowHeight,695
devicePixelRatio,1.25
responseWindowsMs,5000/4000/2500
fixationJitterMs,500-800
itemSizePx,56
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,searchType,setSize,targetItem,distractor1Item,distractor2Item,distractor1Count,distractor2Count,fixationDuration,targetX,targetY,clickX,clickY,clickDistance,clickedItemType,emptyClickCount
1,1,1,1566,green_hexagon,green_hexagon,1,1280,696,0,feature,21,green_hexagon,darkturquoise_hexagon,,20,0,584,742,459,763,485,33,target,0
1,2,2,2847,dimgray_square,dimgray_square,1,1368,602,0,feature,21,dimgray_square,deeppink_square,,20,0,766,698,509,684,535,29,target,0
1,3,3,4215,darkturquoise_pentagon,darkturquoise_pentagon,1,1416,865,0,feature,21,darkturquoise_pentagon,dimgray_pentagon,,20,0,551,935,409,933,410,2,target,0
1,4,4,5631,darkorange_ring,darkorange_ring,1,1602,802,0,feature,21,darkorange_ring,darkturquoise_ring,,20,0,800,1096,510,1080,512,16,target,0
1,5,5,7233,green_square,green_square,1,1695,953,0,feature,21,green_square,deeppink_square,,20,0,742,371,483,374,468,15,target,0
1,6,6,8928,purple_triangle,purple_triangle,1,1879,1279,0,feature,21,purple_triangle,deeppink_triangle,,20,0,600,1094,140,1094,142,2,target,0
1,7,7,10807,darkturquoise_semicircle,darkturquoise_semicircle,1,1552,890,0,feature,21,darkturquoise_semicircle,gold_semicircle,,20,0,662,772,332,763,314,20,target,0
1,8,8,12359,gold_hexagon,gold_hexagon,1,1344,827,0,feature,21,gold_hexagon,deeppink_hexagon,,20,0,517,980,206,992,204,12,target,0
1,9,9,13702,dimgray_cross,dimgray_cross,1,1633,912,0,feature,21,dimgray_cross,red_cross,,20,0,721,1099,265,1088,259,12,target,0
1,10,10,15335,saddlebrown_ring,saddlebrown_ring,1,1664,879,0,feature,21,saddlebrown_ring,darkorange_ring,,20,0,785,523,221,535,226,14,target,0
