trialIndexGlobal,timestampMs,mouseX,mouseY
1,1574,822,559
1,1689,823,558
1,1806,823,558
1,1922,823,558
1,2038,823,558
1,2155,824,551
1,2271,824,551
1,2387,824,551
1,2504,824,550
1,2620,772,524
1,2736,763,485
1,2847,763,485
2,2853,763,485
2,2969,762,483
2,3086,757,475
2,3202,756,475
2,3318,756,475
2,3434,756,475
2,3534,756,475
2,3651,756,475
2,3767,756,475
2,3883,756,475
2,4000,708,503
2,4116,684,534
2,4215,684,535
3,4232,685,535
3,4349,699,518
3,4449,699,518
3,4565,699,518
3,4681,699,518
3,4798,699,518
3,4914,699,518
3,5030,699,518
3,5130,728,511
3,5246,1011,430
3,5346,1005,419
3,5462,985,406
3,5579,933,410
3,5631,933,410
4,5695,933,410
4,5811,932,410
4,5928,932,410
4,6044,932,410
4,6160,932,410
4,6277,932,410
4,6393,932,410
4,6510,932,410
4,6626,932,410
4,6742,932,410
4,6858,1052,515
4,6975,1072,530
4,7075,1075,524
4,7191,1079,513
4,7233,1080,512
5,7307,1080,512
5,7424,1080,512
5,7540,1080,512
5,7656,1080,512
5,7773,1080,512
5,7889,1080,512
5,8005,1080,512
5,8122,1080,512
5,8238,1080,512
5,8355,836,516
5,8471,519,518
5,8587,448,519
5,8704,401,505
5,8820,376,470
5,8928,374,468
6,8936,374,468
6,9052,374,468
6,9186,374,467
6,9302,375,466
6,9402,376,466
6,9518,377,465
6,9634,378,465
6,9751,378,465
6,9867,380,463
6,9983,621,423
6,10100,1180,211
6,10216,1125,167
6,10316,1160,127
6,10432,1104,151
6,10548,1087,160
6,10665,1092,151
6,10765,1094,143
6,10807,1094,142
7,10881,1094,142
7,10997,1094,142
7,11097,1089,151
7,11213,1084,158
7,11330,1084,158
7,11446,1084,158
7,11562,1084,158
7,11679,1065,170
7,11795,670,409
7,11912,636,445
7,12028,703,362
7,12144,741,330
7,12260,763,315
7,12358,763,314
8,12377,764,314
8,12493,764,314
8,12610,764,314
8,12726,764,316
8,12842,764,317
8,12959,764,317
8,13075,764,317
8,13191,764,322
8,13308,925,284
8,13424,975,244
8,13540,981,233
8,13656,992,204
8,13702,992,204
9,13756,992,204
9,13873,992,207
9,13989,992,207
9,14105,990,209
9,14222,990,209
9,14338,990,209
9,14455,990,211
9,14571,990,211
9,14687,972,223
9,14804,940,268
9,14920,1105,233
9,15036,1108,231
9,15153,1108,232
9,15269,1088,259
9,15335,1088,259
10,15385,1088,259
10,15502,1088,259
10,15618,1088,259
10,15734,1088,259
10,15851,1088,259
10,15967,1088,259
10,16083,1088,259
10,16200,1088,259
10,16316,1088,259
10,16432,968,315
10,16549,510,423
10,16665,491,341
10,16781,512,264
10,16898,535,226
10,16998,535,226
11,17014,535,226
11,17130,534,228
11,17247,534,229
11,17363,534,229
11,17463,534,229
11,17579,534,229
11,17696,534,229
11,17812,534,229
11,17928,645,326
11,18028,723,357
11,18144,784,344
11,18244,852,347
11,18360,869,353
11,18431,871,354
12,18477,871,354
12,18593,871,354
12,18710,871,354
12,18826,871,354
12,18942,871,354
12,19059,871,354
12,19175,871,354
12,19291,799,369
12,19408,620,379
12,19524,616,363
12,19640,651,341
12,19740,657,343
12,19857,660,346
12,19864,660,346
