SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,brainShift
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-08T13:35:19.022Z
sessionDurationMs,251176
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,3000/2200/1500
switchRates,0/0.4/0.6
itiMs,200
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusNumber,stimulusColor,stimulusPosition,taskDomain,expectedCategory,switchType,labelsVisible
1,1,1,46033,timeout,no,0,3000,3000,0,8,orange,topRight,number,odd,first,1
1,2,2,49249,yes,yes,1,1833,1833,0,5,red,topRight,number,odd,repeat,1
1,3,3,51285,no,no,1,1976,1976,0,4,orange,topRight,number,odd,repeat,1
1,4,4,53467,yes,yes,1,1729,1729,0,7,green,topRight,number,odd,repeat,1
1,5,5,55400,no,no,1,1361,1361,0,9,blue,topLeft,number,even,repeat,1
1,6,6,56968,yes,yes,1,2378,2378,0,4,purple,topLeft,number,even,repeat,1
1,7,7,59550,yes,yes,1,1131,1131,0,8,yellow,topLeft,number,even,repeat,1
1,8,8,60883,no,no,1,1053,1053,0,6,yellow,topRight,number,odd,repeat,1
1,9,9,62150,yes,yes,1,1319,1319,0,6,red,topLeft,number,even,repeat,1
1,10,10,63684,no,yes,-1,998,998,0,5,purple,topRight,number,odd,repeat,1
1,11,11,64883,no,no,1,2267,2267,0,2,orange,topRight,number,odd,repeat,1
1,12,12,67351,yes,yes,1,1103,1103,0,5,green,topRight,number,odd,repeat,1
1,13,13,68667,timeout,no,0,3000,3000,0,1,orange,topLeft,number,even,repeat,1
1,14,14,71882,no,no,1,2462,2462,0,8,purple,topRight,number,odd,repeat,1
1,15,15,74548,no,no,1,2159,2159,0,4,yellow,topRight,number,odd,repeat,1
1,16,16,76917,no,no,1,1296,1296,0,0,red,topRight,number,odd,repeat,1
1,17,17,78417,no,no,1,1173,1173,0,1,red,topLeft,number,even,repeat,1
1,18,18,79800,no,no,1,1418,1418,0,9,red,topLeft,number,even,repeat,1
1,19,19,81433,yes,yes,1,1852,1852,0,5,yellow,topRight,number,odd,repeat,1
1,20,20,83500,yes,yes,1,1090,1090,0,4,yellow,topLeft,number,even,repeat,1
1,21,21,84800,yes,yes,1,768,768,0,7,blue,topRight,number,odd,repeat,1
1,22,22,85783,no,no,1,1269,1269,0,1,orange,topLeft,number,even,repeat,1
1,23,23,87266,yes,yes,1,1329,1329,0,5,purple,topRight,number,odd,repeat,1
1,24,24,88801,no,no,1,2563,2563,0,0,blue,topRight,number,odd,repeat,1
1,25,25,91568,yes,yes,1,1002,1002,0,2,yellow,topLeft,number,even,repeat,1
1,26,26,92782,no,yes,-1,889,889,0,1,orange,topRight,number,odd,repeat,1
1,27,27,93883,yes,yes,1,820,820,0,8,red,topLeft,number,even,repeat,1
1,28,28,94916,yes,yes,1,708,708,0,2,blue,topLeft,number,even,repeat,1
1,29,29,95833,yes,yes,1,611,611,0,2,red,topLeft,number,even,repeat,1
1,30,30,96649,no,no,1,696,696,0,7,yellow,topLeft,number,even,repeat,1
1,31,31,97549,no,no,1,1918,1918,0,6,red,topRight,number,odd,repeat,1
1,32,32,99683,yes,yes,1,1571,1571,0,7,red,topRight,number,odd,repeat,1
1,33,33,101465,no,no,1,730,730,0,0,blue,topRight,number,odd,repeat,1
1,34,34,102399,yes,yes,1,793,793,0,0,green,topLeft,number,even,repeat,1
1,35,35,103398,yes,yes,1,1452,1452,0,5,red,topRight,number,odd,repeat,1
1,36,36,105066,yes,no,-1,1697,1697,0,7,orange,topLeft,number,even,repeat,1
1,37,37,106966,yes,yes,1,1996,1996,0,1,purple,topRight,number,odd,repeat,1
1,38,38,109166,no,no,1,936,936,0,1,yellow,topLeft,number,even,repeat,1
1,39,39,110315,no,no,1,1135,1135,0,5,green,topLeft,number,even,repeat,1
1,40,40,111666,no,no,1,792,792,0,3,blue,topLeft,number,even,repeat,1
2,41,1,120966,no,no,1,1622,1622,0,9,orange,topLeft,number,even,first,1
2,42,2,122800,yes,yes,1,652,652,0,4,yellow,topLeft,number,even,repeat,1
2,43,3,123666,yes,no,-1,1423,1423,0,6,blue,bottomLeft,color,warm,switch,1
2,44,4,125299,timeout,yes,0,2200,2200,0,4,purple,bottomRight,color,cool,repeat,1
2,45,5,127716,yes,yes,1,118,118,1,8,orange,topLeft,number,even,switch,1
2,46,6,128049,timeout,no,0,2200,2200,0,2,orange,bottomRight,color,cool,switch,1
2,47,7,130449,no,yes,-1,1961,1961,0,2,green,bottomRight,color,cool,repeat,1
2,48,8,132615,timeout,no,0,2200,2200,0,4,green,topRight,number,odd,switch,1
2,49,9,135032,no,yes,-1,41,41,1,6,green,topLeft,number,even,repeat,1
2,50,10,135281,no,no,1,1707,1707,0,6,purple,bottomLeft,color,warm,switch,1
2,51,11,137200,timeout,no,0,2200,2200,0,6,green,topRight,number,odd,switch,1
2,52,12,139616,no,yes,-1,984,984,0,1,green,topRight,number,odd,repeat,1
2,53,13,140815,yes,yes,1,1500,1500,0,3,green,bottomRight,color,cool,switch,1
2,54,14,142515,no,no,1,1328,1328,0,9,blue,topLeft,number,even,switch,1
2,55,15,144050,no,no,1,675,675,0,5,yellow,topLeft,number,even,repeat,1
2,56,16,144932,no,no,1,1004,1004,0,2,purple,topRight,number,odd,repeat,1
2,57,17,146150,no,no,1,1272,1272,0,7,orange,bottomRight,color,cool,switch,1
2,58,18,147632,no,no,1,1364,1364,0,2,yellow,topRight,number,odd,switch,1
2,59,19,149199,yes,no,-1,1326,1326,0,1,green,bottomLeft,color,warm,switch,1
2,60,20,150733,no,yes,-1,786,786,0,7,red,bottomLeft,color,warm,repeat,1
2,61,21,151731,no,no,1,1410,1410,0,8,orange,topRight,number,odd,switch,1
2,62,22,153349,yes,yes,1,1035,1035,0,1,red,bottomLeft,color,warm,switch,1
2,63,23,154600,yes,yes,1,542,542,0,7,red,bottomLeft,color,warm,repeat,1
2,64,24,155350,no,no,1,1852,1852,0,4,yellow,topRight,number,odd,switch,1
2,65,25,157415,yes,yes,1,1898,1898,0,4,purple,bottomRight,color,cool,switch,1
2,66,26,159517,yes,yes,1,1283,1283,0,0,orange,bottomLeft,color,warm,repeat,1
2,67,27,161016,yes,yes,1,806,806,0,5,yellow,bottomLeft,color,warm,repeat,1
2,68,28,162032,yes,yes,1,757,757,0,6,red,bottomLeft,color,warm,repeat,1
2,69,29,162999,yes,yes,1,581,581,0,9,orange,bottomLeft,color,warm,repeat,1
2,70,30,163783,yes,yes,1,958,958,0,7,purple,bottomRight,color,cool,repeat,1
2,71,31,164947,yes,yes,1,810,810,0,2,yellow,bottomLeft,color,warm,repeat,1
2,72,32,165965,yes,yes,1,621,621,0,2,orange,bottomLeft,color,warm,repeat,1
2,73,33,166798,no,no,1,904,904,0,8,orange,bottomRight,color,cool,repeat,1
2,74,34,167914,no,no,1,832,832,0,7,yellow,bottomRight,color,cool,repeat,1
2,75,35,168949,yes,yes,1,867,867,0,9,green,bottomRight,color,cool,repeat,1
2,76,36,170032,no,no,1,721,721,0,5,yellow,bottomRight,color,cool,repeat,1
2,77,37,170964,no,no,1,1301,1301,0,8,green,topRight,number,odd,switch,1
2,78,38,172481,no,no,1,885,885,0,9,orange,topLeft,number,even,repeat,1
2,79,39,173566,yes,yes,1,841,841,0,5,yellow,topRight,number,odd,repeat,1
2,80,40,174616,no,no,1,1151,1151,0,5,blue,topLeft,number,even,repeat,1
3,81,1,198613,timeout,no,0,1500,1500,0,0,green,topRight,number,odd,first,0
3,82,2,200315,no,no,1,11,11,1,0,green,topRight,number,odd,repeat,0
3,83,3,200531,no,no,1,818,818,0,2,yellow,topRight,number,odd,repeat,0
3,84,4,201564,yes,no,-1,1277,1277,0,0,orange,bottomRight,color,cool,switch,0
3,85,5,203049,yes,yes,1,1314,1314,0,1,green,bottomRight,color,cool,repeat,0
3,86,6,204565,yes,yes,1,1082,1082,0,9,red,topRight,number,odd,switch,0
3,87,7,205847,yes,yes,1,903,903,0,8,yellow,topLeft,number,even,repeat,0
3,88,8,206965,timeout,no,0,1500,1500,0,0,yellow,bottomRight,color,cool,switch,0
3,89,9,208681,no,yes,-1,150,150,0,7,green,topRight,number,odd,switch,0
3,90,10,209047,timeout,no,0,1500,1500,0,0,green,bottomLeft,color,warm,switch,0
3,91,11,210748,no,no,1,1286,1286,0,0,orange,bottomRight,color,cool,repeat,0
3,92,12,212247,no,no,1,1298,1298,0,7,orange,topLeft,number,even,switch,0
3,93,13,213747,yes,yes,1,1223,1223,0,9,orange,topRight,number,odd,repeat,0
3,94,14,215181,yes,yes,1,1033,1033,0,5,purple,bottomRight,color,cool,switch,0
