SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,chalkboardChallenge
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-08T13:39:48.360Z
sessionDurationMs,385115
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,6000/5000/4000
diffRatioBands,0.3-0.6/0.15-0.3/0.1-0.15
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,leftExpr,rightExpr,leftValue,rightValue,diffRatio,operators,nTermsLeft,nTermsRight,hasPrecedence
1,1,1,10625,right,right,1,1212,1212,0,15 + 9,40 + 4,24,44,0.4545,+,2,2,0
1,2,2,11991,right,right,1,2221,2221,0,44 - 17,10 + 38,27,48,0.4375,"+,-",2,2,0
1,3,3,14375,left,left,1,1413,1413,0,6 + 34,16 + 7,40,23,0.425,+,2,2,0
1,4,4,15942,right,right,1,1301,1301,0,39 - 2,41 + 28,37,69,0.4638,"+,-",2,2,0
1,5,5,17408,left,left,1,1541,1541,0,48 + 34,13 + 43,82,56,0.3171,+,2,2,0
1,6,6,19108,right,right,1,1243,1243,0,32 + 7,35 + 33,39,68,0.4265,+,2,2,0
1,7,7,20507,right,right,1,1471,1471,0,10 + 27,32 + 22,37,54,0.3148,+,2,2,0
1,8,8,22142,right,right,1,846,846,0,36 + 1,45 + 37,37,82,0.5488,+,2,2,0
1,9,9,23142,left,left,1,3365,3365,0,3 + 19,27 - 14,22,13,0.4091,"+,-",2,2,0
1,10,10,26659,left,right,-1,2692,2692,0,29 - 17,8 + 13,12,21,0.4286,"+,-",2,2,0
1,11,11,29507,right,right,1,2981,2981,0,46 - 13,23 + 29,33,52,0.3654,"+,-",2,2,0
1,12,12,32641,left,left,1,1712,1712,0,49 + 35,30 + 25,84,55,0.3452,+,2,2,0
1,13,13,34508,left,left,1,3319,3319,0,23 + 42,12 + 29,65,41,0.3692,+,2,2,0
1,14,14,37992,left,left,1,1663,1663,0,41 + 26,16 + 27,67,43,0.3582,+,2,2,0
1,15,15,39808,right,right,1,2079,2079,0,42 - 12,16 + 31,30,47,0.3617,"+,-",2,2,0
1,16,16,42042,left,left,1,1913,1913,0,21 + 25,44 - 13,46,31,0.3261,"+,-",2,2,0
1,17,17,44108,left,left,1,2381,2381,0,30 - 11,33 - 25,19,8,0.5789,-,2,2,0
1,18,18,46642,left,left,1,1021,1021,0,34 + 18,40 - 6,52,34,0.3462,"+,-",2,2,0
1,19,19,47824,right,right,1,2093,2093,0,6 + 24,28 + 32,30,60,0.5,+,2,2,0
1,20,20,50075,left,left,1,1090,1090,0,20 + 45,8 + 23,65,31,0.5231,+,2,2,0
1,21,21,51324,right,right,1,982,982,0,11 - 1,21 + 2,10,23,0.5652,"+,-",2,2,0
1,22,22,52456,right,right,1,1374,1374,0,23 + 7,40 + 20,30,60,0.5,+,2,2,0
1,23,23,53991,left,left,1,1247,1247,0,20 + 32,11 + 21,52,32,0.3846,+,2,2,0
1,24,24,55390,left,left,1,1131,1131,0,33 + 30,20 + 12,63,32,0.4921,+,2,2,0
1,25,25,56675,left,left,1,1185,1185,0,31 + 47,37 + 6,78,43,0.4487,+,2,2,0
1,26,26,58023,left,left,1,1203,1203,0,47 + 41,42 + 13,88,55,0.375,+,2,2,0
1,27,27,59392,right,right,1,874,874,0,8 + 34,29 + 38,42,67,0.3731,+,2,2,0
1,28,28,60424,left,right,-1,1159,1159,0,12 + 19,4 + 42,31,46,0.3261,+,2,2,0
1,29,29,61740,right,right,1,1047,1047,0,29 - 2,43 + 24,27,67,0.597,"+,-",2,2,0
1,30,30,62941,left,left,1,1048,1048,0,36 + 22,19 + 14,58,33,0.431,+,2,2,0
1,31,31,64140,left,left,1,3141,3141,0,47 + 2,49 - 20,49,29,0.4082,"+,-",2,2,0
1,32,32,67441,right,right,1,1673,1673,0,18 + 16,44 + 26,34,70,0.5143,+,2,2,0
1,33,33,69274,left,left,1,2505,2505,0,7 + 46,12 + 21,53,33,0.3774,+,2,2,0
1,34,34,71941,left,left,1,1373,1373,0,33 + 45,26 + 7,78,33,0.5769,+,2,2,0
1,35,35,73473,right,right,1,1730,1730,0,1 + 36,27 + 39,37,66,0.4394,+,2,2,0
1,36,36,75357,right,right,1,3342,3342,0,41 - 21,16 + 27,20,43,0.5349,"+,-",2,2,0
1,37,37,78858,right,right,1,1690,1690,0,40 - 9,34 + 30,31,64,0.5156,"+,-",2,2,0
1,38,38,80709,left,left,1,2252,2252,0,50 - 40,3 + 4,10,7,0.3,"+,-",2,2,0
1,39,39,83123,right,right,1,2776,2776,0,35 - 11,39 + 13,24,52,0.5385,"+,-",2,2,0
1,40,40,86058,left,left,1,2881,2881,0,44 - 16,45 - 31,28,14,0.5,-,2,2,0
2,41,1,95374,left,left,1,3530,3530,0,31 + 30 * 6,8 * 15 + 42,211,162,0.2322,"+,*",3,3,1
2,42,2,99057,right,right,1,3995,3995,0,7 + 46 + 3,40 + 17 + 10,56,67,0.1642,+,3,3,0
