SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,goNogo
inputDevice,keyboard_space
phase,assessment
sessionStartUTC,2026-07-08T13:17:36.093Z
sessionDurationMs,132205
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,1500/1000/700
itiMs,150
trialsPerLevel,40
goRatio,0.6

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusColor,stimulusShape,isGoTargetColor,isGoTargetShape,sdtOutcome
1,1,1,14594,go,go,1,437,437,0,green,circle,1,1,hit
1,2,2,15193,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,3,3,16860,go,go,1,371,371,0,green,circle,1,1,hit
1,4,4,17393,go,go,1,460,460,0,green,circle,1,1,hit
1,5,5,18010,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,6,6,19661,go,go,1,371,371,0,green,circle,1,1,hit
1,7,7,20193,go,go,1,409,409,0,green,circle,1,1,hit
1,8,8,20759,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,9,9,22410,go,go,1,358,358,0,green,circle,1,1,hit
1,10,10,22927,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,11,11,24592,go,nogo,-1,501,501,0,red,circle,0,1,falseAlarm
1,12,12,25243,go,go,1,399,399,0,green,circle,1,1,hit
1,13,13,25810,go,go,1,371,371,0,green,circle,1,1,hit
1,14,14,26344,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,15,15,28010,go,go,1,473,473,0,green,circle,1,1,hit
1,16,16,28643,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,17,17,30310,go,go,1,405,405,0,green,circle,1,1,hit
1,18,18,30876,go,go,1,392,392,0,green,circle,1,1,hit
1,19,19,31426,go,go,1,416,416,0,green,circle,1,1,hit
1,20,20,31992,go,go,1,374,374,0,green,circle,1,1,hit
1,21,21,32526,go,go,1,374,374,0,green,circle,1,1,hit
1,22,22,33060,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,23,23,34726,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,24,24,36393,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,25,25,38060,go,go,1,385,385,0,green,circle,1,1,hit
1,26,26,38608,go,go,1,406,406,0,green,circle,1,1,hit
1,27,27,39176,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,28,28,40842,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,29,29,42492,go,go,1,419,419,0,green,circle,1,1,hit
1,30,30,43076,go,go,1,379,379,0,green,circle,1,1,hit
1,31,31,43609,go,go,1,346,346,0,green,circle,1,1,hit
1,32,32,44109,go,go,1,357,357,0,green,circle,1,1,hit
