SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-08T13:20:09.974Z
sessionDurationMs,552908
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,7000/7000/7000
itiMs,150
stimulusMs,2000
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx,pointerLockActive
1,1,1,21461,done,done,-1,9420,6420,0,1,4,4,"2,3;1,1;1,2;3,2","3,2;3,3;2,3;1,2;1,1",4,0,1,1,588;1164;3621;4168;4610,5,633,332,90,1
1,2,2,31044,done,done,1,6581,3581,0,1,4,4,"1,0;1,2;2,2;2,1","1,0;2,1;2,2;1,2",4,0,0,1,911;1596;2228;2709,0,633,332,90,1
1,3,3,37778,timeout,done,0,10000,7000,0,1,4,4,"0,2;3,3;0,3;0,0","0,0;0,2;0,3;3,3",4,0,0,1,905;1718;2481;3530,0,633,332,90,1
1,4,4,47961,done,done,1,7567,4567,0,1,4,4,"1,3;1,2;0,0;3,0","0,0;3,0;1,2;1,3",4,0,0,1,1042;2190;2995;3731,0,633,332,90,1
1,5,5,55693,done,done,1,5814,2814,0,1,4,4,"0,3;2,3;3,2;1,3","3,2;2,3;1,3;0,3",4,0,0,1,854;1408;1835;2296,0,633,332,90,1
1,6,6,61660,done,done,1,6049,3049,0,1,4,4,"1,2;2,0;3,1;0,3","2,0;3,1;1,2;0,3",4,0,0,1,864;1382;1941;2487,0,633,332,90,1
1,7,7,67860,done,done,1,7723,4723,0,1,4,4,"3,2;3,1;3,3;0,1","0,1;3,1;3,3;3,2",4,0,0,1,831;1642;2884;3338,0,633,332,90,1
1,8,8,75744,done,done,1,9525,6525,0,2,4,5,"2,1;0,2;0,3;0,0;3,2","0,0;2,1;3,2;0,2;0,3",5,0,0,1,820;3769;4414;5256;5816,0,633,332,90,1
1,9,9,85427,done,done,1,8268,5268,0,2,4,5,"2,3;3,1;0,3;1,0;1,3","1,0;3,1;1,3;0,3;2,3",5,0,0,1,646;2199;3251;3858;4543,0,633,332,90,1
1,10,10,93859,done,done,1,6807,3807,0,2,4,5,"0,1;2,0;3,0;3,2;2,3","2,0;3,0;3,2;2,3;0,1",5,0,0,1,695;1134;1716;2220;2904,0,633,332,90,1
1,11,11,100826,done,done,1,6824,3824,0,2,4,5,"3,1;1,1;3,3;0,2;1,2","1,1;1,2;0,2;3,1;3,3",5,0,0,1,775;1313;1775;2438;3069,0,633,332,90,1
1,12,12,107810,done,done,1,7883,4883,0,2,4,5,"3,0;3,1;3,3;2,3;0,3","3,0;3,1;3,3;2,3;0,3",5,0,0,1,1850;2458;3238;3705;4279,0,633,332,90,1
1,13,13,115843,done,done,1,6821,3821,0,2,4,5,"1,0;1,2;3,1;2,2;3,0","3,0;3,1;2,2;1,2;1,0",5,0,0,1,834;1331;1868;2303;2912,0,633,332,90,1
1,14,14,122827,done,done,1,6896,3896,0,3,4,6,"0,0;0,2;1,3;1,0;1,2;0,1","1,0;0,0;0,1;0,2;1,2;1,3",6,0,0,1,748;1286;1746;2279;2704;3168,0,633,332,90,1
1,15,15,129876,done,done,1,7762,4762,0,3,4,6,"3,0;1,0;2,1;1,3;0,0;0,2","3,0;2,1;1,0;0,0;0,2;1,3",6,0,0,1,846;1328;2349;2802;3419;3986,0,633,332,90,1
1,16,16,137792,done,done,1,9004,6004,0,3,4,6,"3,2;0,3;0,0;0,1;1,3;2,2","3,2;2,2;1,3;0,1;0,0;0,3",6,0,0,1,1539;2035;2528;3681;4310;5150,0,633,332,90,1
1,17,17,146959,done,done,1,7649,4649,0,3,4,6,"2,1;3,1;0,1;1,1;0,0;1,0","1,0;0,0;0,1;3,1;2,1;1,1",6,0,0,1,1089;1482;1907;2733;3258;3678,0,633,332,90,1
1,18,18,154758,done,done,1,8890,5890,0,3,4,6,"1,2;1,0;1,3;3,1;3,2;2,3","1,3;1,2;2,3;3,2;3,1;1,0",6,0,0,1,1008;1598;2058;2584;4249;5011,0,633,332,90,1
1,19,19,163809,done,done,1,7355,4355,0,3,4,6,"3,1;2,3;0,2;3,2;1,0;2,1","2,1;3,1;3,2;2,3;1,0;0,2",6,0,0,1,703;1278;1766;2238;2991;3614,0,633,332,90,1
1,20,20,171325,done,done,1,7908,4908,0,3,4,6,"2,0;1,3;3,3;0,1;1,1;2,2","1,3;2,2;3,3;1,1;2,0;0,1",6,0,0,1,951;1535;2296;2981;3623;4269,0,633,332,90,1
2,21,1,183458,done,done,-1,8075,5075,0,1,5,6,"2,3;2,2;1,0;1,2;1,1;0,0","0,0;1,0;1,1;1,2;3,2;2,2;2,3",6,0,1,1,883;1321;1715;2249;2684;3104;3515,0,588,287,90,1
2,22,2,191692,done,done,1,7489,4489,0,1,5,6,"0,2;4,2;4,4;3,1;4,0;2,4","4,0;3,1;4,2;4,4;2,4;0,2",6,0,0,1,727;1203;1732;2354;2928;3615,0,588,287,90,1
2,23,3,199341,done,done,1,7147,4147,0,1,5,6,"1,0;2,0;2,1;4,2;3,1;4,1","1,0;2,0;2,1;3,1;4,1;4,2",6,0,0,1,738;1249;1702;2140;2562;3035,0,588,287,90,1
2,24,4,206642,done,done,1,7393,4393,0,1,5,6,"3,1;1,1;2,3;0,2;0,4;4,1","4,1;3,1;2,3;1,1;0,2;0,4",6,0,0,1,625;1120;1761;2322;2886;3515,0,588,287,90,1
2,25,5,214191,done,done,1,8266,5266,0,1,5,6,"1,2;4,4;3,4;2,1;0,4;4,2","4,4;3,4;4,2;2,1;1,2;0,4",6,0,0,1,1061;1687;2342;2963;3486;4055,1,588,287,90,1
2,26,6,222608,done,done,1,7595,4595,0,1,5,6,"2,0;2,3;1,0;0,2;3,0;3,2","2,0;3,0;1,0;3,2;2,3;0,2",6,0,0,1,862;1298;1906;2526;3079;3672,0,588,287,90,1
2,27,7,230358,done,done,1,7350,4350,0,1,5,6,"3,4;3,3;3,1;3,0;1,2;3,2","3,0;3,1;3,2;3,3;3,4;1,2",6,0,0,1,747;1221;1801;2359;2823;3558,0,588,287,90,1
2,28,8,237874,done,done,1,7858,4858,0,2,5,7,"0,3;1,2;1,1;0,0;3,4;4,3;4,4","4,3;4,4;3,4;0,3;1,2;1,1;0,0",7,0,0,1,745;1256;1788;2530;3065;3544;3993,0,588,287,90,1
2,29,9,245890,done,done,1,8517,5517,0,2,5,7,"4,4;4,3;1,2;2,1;3,4;0,2;2,3","4,3;4,4;3,4;2,3;2,1;1,2;0,2",7,0,0,1,815;1318;1884;2554;3213;3801;4296,0,588,287,90,1
2,30,10,254558,done,done,1,7417,4417,0,2,5,7,"2,1;3,2;2,3;3,1;0,2;1,3;2,2","0,2;1,3;2,3;2,2;2,1;3,1;3,2",7,0,0,1,756;1252;1728;2246;2728;3163;3657,0,588,287,90,1
2,31,11,262140,done,done,-1,8901,5901,0,2,5,7,"0,0;1,2;3,1;2,4;0,3;2,3;3,2","3,2;3,1;2,3;2,4;1,2;0,3;0,1;0,0",7,0,1,1,689;1256;2144;2599;3215;3796;4441;4852,0,588,287,90,1
2,32,12,271191,done,done,1,8244,5244,0,2,5,7,"1,4;3,2;1,0;0,1;1,1;0,0;3,3","3,2;3,3;1,4;1,1;0,1;0,0;1,0",7,0,0,1,725;1179;1907;2556;3019;3566;4001,0,588,287,90,1
2,33,13,279591,done,done,1,7767,4767,0,2,5,7,"0,1;2,4;2,3;1,2;1,1;0,4;2,0","2,0;1,1;1,2;0,1;2,3;2,4;0,4",7,0,0,1,679;1270;1736;2253;2934;3422;4185,0,588,287,90,1
