trialIndexGlobal,timestampMs,mouseX,mouseY
1,21477,843,721
1,21577,843,721
1,21677,843,721
1,21777,843,721
1,21877,843,721
1,21977,843,721
1,22093,843,721
1,22194,843,721
1,22294,843,721
1,22394,843,721
1,22494,843,721
1,22610,843,721
1,22710,843,721
1,22827,843,721
1,22927,843,721
1,23027,843,721
1,23128,843,721
1,23244,843,721
1,23344,843,721
1,23461,843,721
1,23577,843,721
1,23677,843,721
1,23777,843,721
1,23877,843,721
1,23977,843,721
1,24077,843,721
1,24177,843,721
1,24278,843,721
1,24378,843,721
1,24478,813,512
1,24595,813,512
1,24695,813,512
1,24810,813,512
1,24911,813,512
1,25011,944,553
1,25127,944,553
1,25228,1001,675
1,25328,1001,675
1,25429,960,713
1,25544,960,713
1,25644,922,675
1,25744,922,675
1,25861,922,675
1,25977,922,675
1,26077,922,675
1,26177,922,675
1,26294,922,675
1,26394,922,675
1,26511,970,819
1,26611,970,819
1,26711,970,819
1,26828,922,862
1,26928,922,862
1,27028,882,807
1,27143,882,807
1,27244,882,807
1,27344,882,807
1,27444,882,807
1,27544,882,807
1,27644,882,807
1,27745,842,704
1,27860,849,670
1,27960,859,616
1,28060,864,617
1,28161,864,618
1,28261,864,618
1,28361,818,581
1,28461,788,561
1,28578,778,555
1,28678,774,553
1,28778,774,553
1,28893,779,508
1,28994,779,469
1,29094,779,466
1,29194,779,466
1,29294,779,466
1,29394,782,571
1,29494,789,683
1,29611,790,697
1,29711,807,732
1,29828,843,761
1,29928,884,751
1,30028,941,694
1,30144,943,687
1,30244,943,681
1,30344,945,665
1,30444,945,665
1,30544,945,665
1,30644,941,675
1,30744,867,772
1,30844,849,778
1,30881,849,778
2,31061,849,778
2,31177,849,778
2,31278,866,671
2,31394,859,610
2,31511,815,578
2,31611,845,548
2,31711,867,595
2,31828,775,588
2,31943,837,473
2,32044,813,569
2,32144,813,569
2,32244,813,569
2,32344,813,569
2,32444,823,531
2,32544,836,506
2,32644,836,504
2,32760,836,503
2,32860,836,482
2,32961,849,455
2,33060,850,447
2,33160,840,438
2,33260,810,424
2,33361,798,390
2,33477,794,361
2,33577,794,362
2,33677,794,362
2,33777,788,377
2,33877,724,360
2,33977,757,273
2,34094,824,521
2,34194,835,572
2,34294,773,606
2,34410,715,507
2,34511,765,452
2,34628,779,418
2,34743,779,396
2,34843,779,391
2,34943,779,391
2,35044,779,391
2,35144,779,391
2,35244,779,391
2,35344,825,465
2,35445,826,468
2,35561,826,468
2,35677,826,468
2,35777,826,468
2,35877,826,468
2,35979,830,516
2,36095,837,583
2,36211,837,583
2,36328,837,583
2,36444,837,583
2,36544,781,554
2,36645,769,549
2,36761,769,549
2,36861,769,549
2,36977,769,549
2,37077,787,681
2,37177,798,724
2,37277,799,740
2,37377,803,761
2,37477,803,761
2,37577,803,761
2,37625,803,761
3,37794,803,761
3,37894,803,761
3,38010,803,761
3,38110,803,761
3,38211,803,761
3,38327,803,761
3,38427,743,631
3,38527,755,563
3,38627,785,538
3,38744,751,517
3,38844,689,505
3,38960,714,453
3,39060,759,429
3,39160,793,517
3,39260,767,573
3,39360,767,573
3,39460,767,573
3,39560,767,573
3,39660,767,573
3,39761,767,573
3,39861,767,573
3,39978,767,573
3,40093,755,629
3,40194,723,668
3,40294,720,586
3,40394,737,515
3,40494,749,477
3,40594,753,453
3,40711,758,436
3,40811,813,512
3,40911,805,544
3,41028,743,567
3,41144,757,471
3,41244,751,421
3,41344,713,382
3,41444,697,375
3,41544,655,369
3,41644,655,369
3,41744,655,369
3,41844,655,369
3,41944,655,369
3,42044,655,384
3,42161,655,517
3,42261,655,522
3,42377,655,528
3,42477,655,528
3,42577,655,528
3,42677,655,528
3,42778,655,528
3,42894,656,622
3,42994,658,662
3,43094,660,679
3,43194,660,682
3,43311,660,682
3,43411,660,682
3,43511,660,682
3,43611,776,660
3,43727,848,659
3,43827,849,659
3,43927,904,656
3,44028,906,656
3,44144,906,656
3,44244,906,656
3,44344,906,656
3,44444,906,656
3,44544,906,656
3,44644,906,656
3,44761,906,656
3,44861,894,688
3,44961,878,710
3,45061,866,717
3,45161,844,736
3,45261,838,739
3,45361,825,747
3,45476,813,754
3,45577,792,767
3,45677,776,784
3,45777,772,791
3,45877,782,778
3,45978,787,772
3,46094,787,771
3,46210,787,771
3,46310,787,771
3,46427,787,771
3,46527,787,771
3,46627,787,771
3,46727,787,771
3,46827,787,771
3,46927,787,771
3,47027,787,771
3,47127,787,771
3,47244,787,771
3,47361,787,771
3,47461,787,771
3,47577,787,771
3,47677,787,771
3,47793,787,771
3,47811,787,771
4,47976,787,771
4,48077,787,771
4,48177,787,771
4,48277,787,771
4,48393,787,771
4,48494,787,771
4,48594,787,771
4,48710,787,771
4,48811,787,771
4,48911,787,771
4,49011,787,771
4,49128,787,771
4,49245,787,771
4,49361,787,771
4,49461,787,769
4,49561,792,721
4,49678,801,649
4,49793,813,565
4,49895,832,546
4,50010,849,554
4,50111,845,560
4,50211,835,560
4,50311,835,560
4,50428,835,560
4,50544,940,505
4,50644,977,501
4,50744,966,540
4,50844,904,577
4,50944,842,557
4,51044,843,443
4,51144,904,459
4,51244,888,531
4,51344,814,496
4,51444,786,451
4,51544,730,433
4,51645,704,403
