SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,simon
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-08T13:15:20.549Z
sessionDurationMs,108941
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,2000/1200/800
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusPosition,congruency
1,1,1,5538,left,left,1,754,754,0,left,congruent
1,2,2,6454,left,left,1,643,643,0,right,incongruent
1,3,3,7255,left,left,1,498,498,0,right,incongruent
1,4,4,7905,right,right,1,597,597,0,right,congruent
1,5,5,8655,left,left,1,507,507,0,right,incongruent
1,6,6,9321,left,left,1,460,460,0,right,incongruent
1,7,7,9938,right,right,1,644,644,0,left,incongruent
1,8,8,10738,left,left,1,586,586,0,left,congruent
1,9,9,11488,left,left,1,691,691,0,right,incongruent
1,10,10,12337,left,left,1,437,437,0,right,incongruent
1,11,11,12938,right,right,1,633,633,0,right,congruent
1,12,12,13721,left,left,1,651,651,0,left,congruent
1,13,13,14538,right,right,1,495,495,0,right,congruent
1,14,14,15188,right,right,1,647,647,0,left,incongruent
1,15,15,15988,right,right,1,486,486,0,right,congruent
1,16,16,16637,left,left,1,563,563,0,right,incongruent
1,17,17,17354,right,right,1,500,500,0,right,congruent
1,18,18,18005,right,right,1,681,681,0,left,incongruent
1,19,19,18838,left,left,1,576,576,0,right,incongruent
1,20,20,19570,right,right,1,496,496,0,right,congruent
1,21,21,20222,left,left,1,577,577,0,right,incongruent
1,22,22,20954,left,left,1,600,600,0,left,congruent
1,23,23,21704,right,right,1,619,619,0,left,incongruent
1,24,24,22487,right,right,1,522,522,0,right,congruent
1,25,25,23171,right,right,1,566,566,0,left,incongruent
1,26,26,23888,right,right,1,473,473,0,left,incongruent
1,27,27,24522,left,left,1,530,530,0,left,congruent
1,28,28,25204,right,right,1,553,553,0,left,incongruent
1,29,29,25921,left,left,1,510,510,0,left,congruent
1,30,30,26587,left,left,1,473,473,0,left,congruent
1,31,31,27220,right,left,-1,538,538,0,right,incongruent
1,32,32,27920,right,right,1,540,540,0,right,congruent
1,33,33,28620,right,right,1,884,884,0,left,incongruent
1,34,34,29655,left,left,1,581,581,0,left,congruent
1,35,35,30388,right,right,1,670,670,0,left,incongruent
1,36,36,31221,left,left,1,589,589,0,left,congruent
1,37,37,31971,right,right,1,525,525,0,right,congruent
1,38,38,32654,left,left,1,626,626,0,left,congruent
1,39,39,33438,right,right,1,503,503,0,right,congruent
1,40,40,34104,right,right,1,608,608,0,left,incongruent
2,41,1,38371,timeout,right,0,1200,1200,0,right,congruent
2,42,2,39721,center,center,1,706,706,0,center,congruent
2,43,3,40587,left,left,1,533,533,0,left,congruent
2,44,4,41271,center,center,1,496,496,0,center,congruent
2,45,5,41920,left,left,1,687,687,0,right,incongruent
2,46,6,42770,left,left,1,611,611,0,center,incongruent
2,47,7,43538,center,center,1,687,687,0,left,incongruent
2,48,8,44387,right,right,1,786,786,0,left,incongruent
2,49,9,45337,center,center,1,548,548,0,center,congruent
2,50,10,46037,right,right,1,575,575,0,right,congruent
2,51,11,46771,center,center,1,624,624,0,right,incongruent
2,52,12,47554,right,right,1,598,598,0,right,congruent
2,53,13,48305,center,center,1,641,641,0,right,incongruent
2,54,14,49104,right,right,1,508,508,0,right,congruent
2,55,15,49770,left,left,1,572,572,0,left,congruent
