SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,starSearch
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-08T13:29:57.392Z
sessionDurationMs,297692
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,5000/4000/2500
fixationJitterMs,500-800
itemSizePx,56
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,searchType,setSize,targetItem,distractor1Item,distractor2Item,distractor1Count,distractor2Count,fixationDuration,targetX,targetY,clickX,clickY,clickDistance,clickedItemType,emptyClickCount
1,1,1,5415,gold_circle,gold_circle,1,1769,1056,0,feature,21,gold_circle,saddlebrown_circle,,20,0,713,444,463,439,462,5,target,0
1,2,2,7184,royalblue_triangle,royalblue_triangle,1,1692,1152,0,feature,21,royalblue_triangle,saddlebrown_triangle,,20,0,540,905,377,904,383,6,target,0
1,3,3,8876,red_triangle,red_triangle,1,1644,935,0,feature,21,red_triangle,gold_triangle,,20,0,709,474,263,483,264,9,target,0
1,4,4,10520,royalblue_ring,royalblue_ring,1,1348,810,0,feature,21,royalblue_ring,green_ring,,20,0,538,920,299,924,313,15,target,0
1,5,5,11868,red_hexagon,red_hexagon,1,1824,1108,0,feature,21,red_hexagon,saddlebrown_hexagon,,20,0,716,745,798,751,799,6,target,0
1,6,6,13692,darkturquoise_cross,darkturquoise_cross,1,1569,889,0,feature,21,darkturquoise_cross,royalblue_cross,,20,0,680,1055,275,1057,279,5,target,0
1,7,7,15261,darkorange_circle,darkorange_circle,1,1359,843,0,feature,21,darkorange_circle,darkturquoise_circle,,20,0,516,836,722,846,719,10,target,0
1,8,8,16620,darkturquoise_diamond,darkturquoise_diamond,1,1610,972,0,feature,21,darkturquoise_diamond,deeppink_diamond,,20,0,638,557,606,555,601,6,target,0
1,9,9,18230,darkorange_star,darkorange_star,1,1509,902,0,feature,21,darkorange_star,dimgray_star,,20,0,607,531,290,526,289,5,target,0
1,10,10,19739,dimgray_pentagon,dimgray_pentagon,1,1508,944,0,feature,21,dimgray_pentagon,purple_pentagon,,20,0,564,962,774,962,773,1,target,0
1,11,11,21247,saddlebrown_square,saddlebrown_square,1,1623,963,0,feature,21,saddlebrown_square,purple_square,,20,0,660,635,601,641,600,6,target,0
1,12,12,22871,darkorange_semicircle,darkorange_semicircle,1,1487,768,0,feature,21,darkorange_semicircle,dimgray_semicircle,,20,0,719,661,484,660,467,17,target,0
1,13,13,24358,saddlebrown_pentagon,saddlebrown_pentagon,1,1478,823,0,feature,21,saddlebrown_pentagon,darkturquoise_pentagon,,20,0,655,450,429,455,421,9,target,0
1,14,14,25836,royalblue_hexagon,royalblue_hexagon,1,1855,1055,0,feature,21,royalblue_hexagon,purple_hexagon,,20,0,800,1178,324,1194,315,18,target,0
1,15,15,27691,purple_square,purple_square,1,1360,812,0,feature,21,purple_square,darkturquoise_square,,20,0,548,546,483,552,488,8,target,0
1,16,16,29051,royalblue_star,royalblue_star,1,1565,833,0,feature,21,royalblue_star,gold_star,,20,0,732,704,459,708,458,4,target,0
1,17,17,30616,deeppink_ring,deeppink_ring,1,1719,974,0,feature,21,deeppink_ring,purple_ring,,20,0,745,1146,537,1165,531,20,target,0
1,18,18,32335,deeppink_diamond,deeppink_diamond,1,1665,867,0,feature,21,deeppink_diamond,darkturquoise_diamond,,20,0,798,931,761,936,755,8,target,0
1,19,19,34000,green_square,green_square,1,1174,630,0,feature,21,green_square,gold_square,,20,0,544,848,445,865,447,17,target,0
1,20,20,35174,dimgray_ring,dimgray_ring,1,1671,1029,0,feature,21,dimgray_ring,deeppink_ring,,20,0,642,953,779,955,775,4,target,0
1,21,21,36845,dimgray_star,dimgray_star,1,1562,829,0,feature,21,dimgray_star,gold_star,,20,0,733,592,506,591,515,9,target,0
1,22,22,38407,red_semicircle,red_semicircle,1,1812,1038,0,feature,21,red_semicircle,purple_semicircle,,20,0,774,1074,263,1084,243,22,target,0
1,23,23,40219,gold_cross,gold_cross,1,1549,817,0,feature,21,gold_cross,green_cross,,20,0,732,1023,478,1041,480,18,target,0
1,24,24,41768,purple_pentagon,purple_pentagon,1,1717,986,0,feature,21,purple_pentagon,deeppink_pentagon,,20,0,731,1211,808,1208,794,14,target,0
1,25,25,43485,deeppink_circle,deeppink_circle,1,1518,966,0,feature,21,deeppink_circle,darkturquoise_circle,,20,0,552,1061,385,1053,388,9,target,0
1,26,26,45003,darkorange_square,darkorange_square,1,1612,997,0,feature,21,darkorange_square,purple_square,,20,0,615,1073,531,1087,527,15,target,0
1,27,27,46615,dimgray_diamond,dimgray_diamond,1,1708,1098,0,feature,21,dimgray_diamond,royalblue_diamond,,20,0,610,1218,336,1221,323,13,target,0
1,28,28,48323,green_cross,green_cross,1,1861,1091,0,feature,21,green_cross,red_cross,,20,0,770,488,794,471,785,19,target,0
1,29,29,50184,darkturquoise_hexagon,darkturquoise_hexagon,1,1903,1108,0,feature,21,darkturquoise_hexagon,royalblue_hexagon,,20,0,795,911,363,910,366,3,target,0
1,30,30,52087,green_semicircle,green_semicircle,1,1353,834,0,feature,21,green_semicircle,darkturquoise_semicircle,,20,0,519,692,688,696,677,12,target,0
1,31,31,53440,green_circle,green_circle,1,1393,727,0,feature,21,green_circle,darkorange_circle,,20,0,666,891,520,895,528,9,target,0
1,32,32,54833,purple_triangle,purple_triangle,1,1604,812,0,feature,21,purple_triangle,dimgray_triangle,,20,0,792,824,574,808,577,16,target,0
1,33,33,56437,darkturquoise_triangle,darkturquoise_triangle,1,1407,831,0,feature,21,darkturquoise_triangle,red_triangle,,20,0,576,868,252,871,260,8,target,0
1,34,34,57844,purple_semicircle,purple_semicircle,1,1484,978,0,feature,21,purple_semicircle,darkorange_semicircle,,20,0,506,471,658,493,643,27,target,0
1,35,35,59328,gold_hexagon,gold_hexagon,1,1532,910,0,feature,21,gold_hexagon,darkturquoise_hexagon,,20,0,622,904,791,909,789,6,target,0
1,36,36,60860,gold_cross,gold_cross,1,1538,938,0,feature,21,gold_cross,royalblue_cross,,20,0,600,883,261,902,253,20,target,0
1,37,37,62398,saddlebrown_ring,saddlebrown_ring,1,1497,877,0,feature,21,saddlebrown_ring,dimgray_ring,,20,0,620,514,351,515,349,2,target,0
1,38,38,63895,saddlebrown_pentagon,saddlebrown_pentagon,1,1444,942,0,feature,21,saddlebrown_pentagon,dimgray_pentagon,,20,0,502,1080,800,1094,791,17,target,0
1,39,39,65339,deeppink_diamond,deeppink_diamond,1,1800,1162,0,feature,21,deeppink_diamond,red_diamond,,20,0,638,1144,807,1143,805,3,target,0
1,40,40,67139,red_star,red_star,1,1693,1157,0,feature,21,red_star,deeppink_star,,20,0,536,1167,725,1163,714,12,target,0
2,41,1,79895,red_circle,red_circle,1,2045,1304,0,conjunction,21,red_circle,royalblue_circle,red_ring,11,9,741,496,628,499,640,12,target,0
2,42,2,81940,darkorange_pentagon,darkorange_pentagon,1,2209,1523,0,conjunction,21,darkorange_pentagon,green_pentagon,darkorange_diamond,10,10,686,840,569,830,577,13,target,0
2,43,3,84149,timeout,green_pentagon,0,4555,4000,0,conjunction,21,green_pentagon,saddlebrown_pentagon,green_hexagon,11,9,555,1001,246,-1,-1,-1,timeout,0
2,44,4,88735,darkturquoise_semicircle,darkturquoise_semicircle,1,2394,1759,0,conjunction,21,darkturquoise_semicircle,royalblue_semicircle,darkturquoise_ring,11,9,635,764,542,765,527,15,target,0
2,45,5,91129,purple_cross,purple_cross,1,4065,3363,0,conjunction,21,purple_cross,gold_cross,purple_pentagon,10,10,702,1249,277,1256,269,11,target,0
2,46,6,95194,gold_triangle,gold_triangle,1,3186,2442,0,conjunction,21,gold_triangle,darkorange_triangle,gold_hexagon,10,10,744,354,513,357,513,3,target,0
2,47,7,98380,purple_semicircle,purple_semicircle,1,2227,1668,0,conjunction,21,purple_semicircle,red_semicircle,purple_square,11,9,559,594,735,583,717,21,target,0
2,48,8,100607,saddlebrown_diamond,saddlebrown_diamond,1,4093,3470,0,conjunction,21,saddlebrown_diamond,gold_diamond,saddlebrown_hexagon,11,9,623,1179,478,1193,483,15,target,0
2,49,9,104700,dimgray_circle,dimgray_circle,1,1833,1315,0,conjunction,21,dimgray_circle,gold_circle,dimgray_triangle,12,8,518,490,427,495,431,7,target,0
