trialIndexGlobal,timestampMs,mouseX,mouseY
1,5417,830,724
1,5519,830,724
1,5618,830,724
1,5735,830,724
1,5836,854,571
1,5936,851,519
1,6052,814,490
1,6169,773,500
1,6285,779,511
1,6401,789,512
1,6501,792,512
1,6601,719,521
1,6702,491,470
1,6802,481,461
1,6918,487,462
1,7018,465,462
1,7118,441,462
1,7184,439,462
2,7235,439,462
2,7335,439,462
2,7435,439,462
2,7551,627,475
2,7651,773,527
2,7751,806,561
2,7851,806,561
2,7951,806,561
2,8051,806,561
2,8152,843,480
2,8268,881,391
2,8385,882,375
2,8502,887,367
2,8602,898,371
2,8718,904,383
2,8818,904,383
2,8876,904,383
3,8934,904,383
3,9034,904,383
3,9134,904,383
3,9234,904,383
3,9351,903,397
3,9451,895,453
3,9551,888,469
3,9651,884,472
3,9751,865,479
3,9852,847,482
3,9967,759,482
3,10069,590,395
3,10185,534,303
3,10301,503,268
3,10401,493,262
3,10501,485,263
3,10520,483,264
4,10601,483,264
4,10701,483,264
4,10817,483,264
4,10918,555,293
4,11019,712,393
4,11135,825,463
4,11235,911,497
4,11335,911,497
4,11451,911,497
4,11551,917,349
4,11651,919,321
4,11768,922,321
4,11868,924,313
5,11869,924,313
5,11985,924,313
5,12085,924,313
5,12201,924,313
5,12302,906,359
5,12418,841,460
5,12518,803,501
5,12618,788,501
5,12735,775,485
5,12835,766,474
5,12935,759,479
5,13035,689,505
5,13152,748,662
5,13252,758,815
5,13368,757,830
5,13469,754,830
5,13569,751,811
5,13685,751,799
5,13692,751,799
6,13785,751,799
6,13901,751,799
6,14003,758,789
6,14103,868,647
6,14218,896,550
6,14334,900,513
6,14434,899,510
6,14535,897,509
6,14652,897,509
6,14752,971,449
6,14867,1065,315
6,14967,1077,295
6,15068,1071,292
6,15169,1057,280
6,15261,1057,279
7,15285,1057,279
7,15384,1057,279
7,15484,1057,279
7,15584,1057,279
7,15684,990,363
7,15785,903,449
7,15900,846,500
7,16001,839,501
7,16101,836,501
7,16201,817,607
7,16301,821,692
7,16402,837,700
7,16501,845,708
7,16601,846,719
7,16620,846,719
8,16701,846,719
8,16817,846,719
8,16918,853,711
8,17034,924,598
8,17135,949,511
8,17253,950,491
8,17369,932,464
8,17469,913,456
8,17585,901,457
8,17685,841,569
8,17786,663,601
8,17902,589,583
8,18017,559,587
8,18117,553,594
8,18218,553,601
8,18230,555,601
9,18318,555,601
9,18418,555,601
9,18534,555,601
9,18635,706,542
9,18735,779,498
9,18851,792,487
9,18952,803,479
9,19068,824,468
9,19168,846,459
9,19269,695,359
9,19385,611,267
9,19485,583,295
9,19585,539,301
9,19702,521,290
9,19739,526,289
10,19817,526,289
10,19918,526,289
10,20018,526,289
10,20118,606,321
10,20219,733,379
10,20335,807,462
10,20452,821,483
10,20568,823,483
10,20685,850,492
10,20785,952,613
10,20901,960,743
10,21001,971,779
10,21101,971,781
10,21202,965,779
10,21247,962,773
11,21317,962,773
11,21417,962,773
11,21517,962,773
11,21618,959,744
11,21719,901,576
11,21835,853,481
11,21935,844,471
11,22035,840,471
11,22136,789,461
11,22251,785,461
11,22352,709,565
11,22469,665,605
11,22585,665,604
11,22702,663,603
11,22818,644,600
11,22870,641,600
12,22935,641,600
12,23051,641,600
12,23151,641,600
12,23251,686,581
12,23352,811,527
12,23452,852,491
12,23567,857,486
12,23669,873,463
12,23769,884,447
12,23885,862,428
12,23986,760,458
12,24085,711,469
12,24185,670,469
12,24285,660,469
12,24358,660,467
13,24385,660,467
13,24501,660,467
13,24617,660,467
13,24718,714,453
13,24818,802,453
13,24918,847,476
13,25034,858,483
13,25134,859,483
13,25234,851,483
13,25334,825,487
13,25434,619,472
13,25535,519,437
13,25651,475,417
13,25767,457,415
13,25836,455,421
14,25867,455,421
14,25968,455,421
14,26084,455,421
14,26184,507,421
14,26285,688,441
14,26385,759,461
14,26485,763,463
14,26585,763,463
14,26685,771,459
14,26785,794,453
14,26902,781,439
14,27018,797,452
14,27118,988,383
14,27235,1081,359
14,27351,1111,363
14,27452,1135,349
14,27568,1182,319
14,27685,1194,315
14,27691,1194,315
15,27801,1194,315
15,27901,1194,315
15,28001,1194,315
15,28101,1009,417
15,28202,810,499
15,28318,800,501
15,28418,797,499
15,28518,774,496
15,28618,736,489
15,28718,611,498
15,28819,580,499
15,28919,563,496
15,29035,552,488
15,29051,552,488
16,29151,552,488
16,29268,552,488
16,29368,552,488
16,29468,592,486
16,29568,711,479
16,29685,814,476
16,29785,885,477
16,29885,947,473
16,29985,949,466
16,30101,949,461
16,30201,790,465
16,30317,730,485
16,30418,723,475
16,30518,715,461
16,30616,708,458
17,30618,708,458
17,30719,708,458
17,30835,708,458
17,30951,715,459
17,31052,818,505
17,31152,843,554
17,31268,844,554
