SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,brainShift
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-09T09:11:48.320Z
sessionDurationMs,166682
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,3000/2200/1500
switchRates,0/0.4/0.6
itiMs,200
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusNumber,stimulusColor,stimulusPosition,taskDomain,expectedCategory,switchType,labelsVisible
1,1,1,22820,yes,yes,1,1111,1111,0,8,yellow,topLeft,number,even,first,1
1,2,2,24137,no,no,1,972,972,0,3,blue,topLeft,number,even,repeat,1
1,3,3,25320,no,no,1,961,961,0,7,orange,topLeft,number,even,repeat,1
1,4,4,26487,yes,yes,1,667,667,0,2,orange,topLeft,number,even,repeat,1
1,5,5,27371,no,no,1,741,741,0,5,orange,topLeft,number,even,repeat,1
1,6,6,28321,no,no,1,1128,1128,0,7,purple,topLeft,number,even,repeat,1
1,7,7,29654,no,no,1,746,746,0,9,purple,topLeft,number,even,repeat,1
1,8,8,30604,no,no,1,934,934,0,2,purple,topRight,number,odd,repeat,1
1,9,9,31753,yes,yes,1,680,680,0,4,purple,topLeft,number,even,repeat,1
1,10,10,32636,yes,yes,1,496,496,0,4,blue,topLeft,number,even,repeat,1
1,11,11,33337,no,no,1,682,682,0,2,yellow,topRight,number,odd,repeat,1
1,12,12,34221,yes,yes,1,786,786,0,6,green,topLeft,number,even,repeat,1
1,13,13,35221,no,yes,-1,820,820,0,3,red,topRight,number,odd,repeat,1
1,14,14,36253,yes,yes,1,832,832,0,9,yellow,topRight,number,odd,repeat,1
1,15,15,37288,yes,yes,1,872,872,0,3,red,topRight,number,odd,repeat,1
1,16,16,38369,no,no,1,804,804,0,5,green,topLeft,number,even,repeat,1
1,17,17,39387,no,no,1,1053,1053,0,0,red,topRight,number,odd,repeat,1
1,18,18,40653,no,no,1,864,864,0,1,green,topLeft,number,even,repeat,1
1,19,19,41721,no,no,1,832,832,0,7,green,topLeft,number,even,repeat,1
1,20,20,42771,yes,yes,1,851,851,0,5,red,topRight,number,odd,repeat,1
1,21,21,43836,no,no,1,608,608,0,6,purple,topRight,number,odd,repeat,1
1,22,22,44654,yes,yes,1,789,789,0,0,orange,topLeft,number,even,repeat,1
1,23,23,45654,no,yes,-1,657,657,0,9,orange,topRight,number,odd,repeat,1
