SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,chalkboardChallenge
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-09T09:14:50.684Z
sessionDurationMs,320273
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,6000/5000/4000
diffRatioBands,0.3-0.6/0.15-0.3/0.1-0.15
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,leftExpr,rightExpr,leftValue,rightValue,diffRatio,operators,nTermsLeft,nTermsRight,hasPrecedence
1,1,1,1188,right,right,1,1543,1543,0,34 - 13,7 + 29,21,36,0.4167,"+,-",2,2,0
1,2,2,2888,left,left,1,1322,1322,0,26 + 46,28 + 8,72,36,0.5,+,2,2,0
1,3,3,4371,right,right,1,2106,2106,0,33 + 1,12 + 41,34,53,0.3585,+,2,2,0
1,4,4,6639,left,left,1,1376,1376,0,47 + 9,49 - 22,56,27,0.5179,"+,-",2,2,0
1,5,5,8171,left,left,1,1761,1761,0,31 + 46,32 + 9,77,41,0.4675,+,2,2,0
1,6,6,10088,left,left,1,1407,1407,0,19 + 11,22 - 9,30,13,0.5667,"+,-",2,2,0
1,7,7,11654,left,left,1,2040,2040,0,14 + 37,41 - 8,51,33,0.3529,"+,-",2,2,0
1,8,8,13855,left,left,1,1620,1620,0,30 + 35,46 - 19,65,27,0.5846,"+,-",2,2,0
1,9,9,15638,left,left,1,1339,1339,0,43 + 27,15 + 28,70,43,0.3857,+,2,2,0
1,10,10,17137,left,left,1,1498,1498,0,50 + 47,28 + 14,97,42,0.567,+,2,2,0
1,11,11,18788,left,left,1,1538,1538,0,4 + 38,50 - 22,42,28,0.3333,"+,-",2,2,0
1,12,12,20487,right,right,1,1161,1161,0,31 + 24,45 + 34,55,79,0.3038,+,2,2,0
1,13,13,21804,left,left,1,1329,1329,0,36 + 15,47 - 24,51,23,0.549,"+,-",2,2,0
1,14,14,23287,left,left,1,1057,1057,0,19 + 38,10 + 15,57,25,0.5614,+,2,2,0
1,15,15,24505,left,left,1,1262,1262,0,7 + 38,13 + 9,45,22,0.5111,+,2,2,0
1,16,16,25921,right,right,1,1870,1870,0,4 + 25,13 + 31,29,44,0.3409,+,2,2,0
1,17,17,27954,left,left,1,1565,1565,0,44 - 3,14 + 8,41,22,0.4634,"+,-",2,2,0
1,18,18,29670,right,right,1,1383,1383,0,40 - 2,28 + 31,38,59,0.3559,"+,-",2,2,0
1,19,19,31204,left,left,1,1358,1358,0,24 + 37,29 + 2,61,31,0.4918,+,2,2,0
1,20,20,32721,left,left,1,1266,1266,0,42 + 44,43 + 11,86,54,0.3721,+,2,2,0
1,21,21,34137,right,right,1,1363,1363,0,18 + 7,3 + 43,25,46,0.4565,+,2,2,0
1,22,22,35654,right,right,1,1946,1946,0,39 - 26,41 - 18,13,23,0.4348,-,2,2,0
1,23,23,37754,right,right,1,1356,1356,0,19 + 2,7 + 38,21,45,0.5333,+,2,2,0
1,24,24,39270,right,right,1,1213,1213,0,15 + 20,21 + 44,35,65,0.4615,+,2,2,0
1,25,25,40637,right,right,1,1086,1086,0,12 - 1,30 - 6,11,24,0.5417,-,2,2,0
1,26,26,41887,right,right,1,1253,1253,0,14 + 9,10 + 31,23,41,0.439,+,2,2,0
1,27,27,43305,left,left,1,1565,1565,0,50 + 40,40 + 12,90,52,0.4222,+,2,2,0
1,28,28,45021,right,right,1,1252,1252,0,49 - 15,33 + 48,34,81,0.5802,"+,-",2,2,0
1,29,29,46437,left,right,-1,1906,1906,0,35 - 9,7 + 33,26,40,0.35,"+,-",2,2,0
1,30,30,48504,right,right,1,1555,1555,0,34 - 8,7 + 32,26,39,0.3333,"+,-",2,2,0
1,31,31,50221,right,right,1,1845,1845,0,38 - 22,43 - 4,16,39,0.5897,-,2,2,0
1,32,32,52221,left,left,1,1235,1235,0,12 + 17,18 - 2,29,16,0.4483,"+,-",2,2,0
1,33,33,53621,left,left,1,1474,1474,0,49 + 35,6 + 47,84,53,0.369,+,2,2,0
1,34,34,55254,left,left,1,1126,1126,0,24 + 17,21 + 3,41,24,0.4146,+,2,2,0
1,35,35,56537,right,right,1,1297,1297,0,22 + 14,39 + 16,36,55,0.3455,+,2,2,0
1,36,36,57987,right,right,1,1055,1055,0,39 + 1,50 + 20,40,70,0.4286,+,2,2,0
1,37,37,59204,right,right,1,877,877,0,1 + 47,38 + 36,48,74,0.3514,+,2,2,0
1,38,38,60237,right,right,1,907,907,0,8 + 21,47 + 22,29,69,0.5797,+,2,2,0
1,39,39,61303,right,right,1,1007,1007,0,17 + 17,20 + 37,34,57,0.4035,+,2,2,0
1,40,40,62471,right,left,-1,2356,2356,0,37 - 15,29 - 16,22,13,0.4091,-,2,2,0
2,41,1,67170,right,left,-1,1981,1981,0,17 - 18 + 40,4 * 1 + 26,39,30,0.2308,"+,-,*",3,3,1
2,42,2,69304,left,right,-1,1554,1554,0,38 * 2,11 * 9,76,99,0.2323,*,2,2,0
2,43,3,71021,left,right,-1,2484,2484,0,50 + 35 - 50,7 + 43,35,50,0.3,"+,-",3,2,0
2,44,4,73671,right,left,-1,1473,1473,0,2 * 48,26 * 3,96,78,0.1875,*,2,2,0
2,45,5,75304,right,right,1,2168,2168,0,12 + 30,2 * 27,42,54,0.2222,"+,*",2,2,0
2,46,6,77637,left,right,-1,2429,2429,0,12 + 5 + 32,49 + 34 - 24,49,59,0.1695,"+,-",3,3,0
2,47,7,80221,right,right,1,2581,2581,0,14 + 2 + 45,45 + 5 * 6,61,75,0.1867,"+,*",3,3,1
2,48,8,82954,left,left,1,2499,2499,0,9 * 2,19 - 8 + 3,18,14,0.2222,"+,-,*",2,3,0
2,49,9,85604,right,right,1,2733,2733,0,9 * 6,44 + 24,54,68,0.2059,"+,*",2,2,0
2,50,10,88503,left,left,1,2133,2133,0,7 * 41,7 * 32 - 16,287,208,0.2753,"-,*",2,3,1
2,51,11,90787,right,left,-1,2327,2327,0,17 + 6 - 2,3 * 14 - 27,21,15,0.2857,"+,-,*",3,3,1
2,52,12,93270,right,right,1,3156,3156,0,28 + 6 * 31,7 * 33 + 36,214,267,0.1985,"+,*",3,3,1
2,53,13,96588,right,left,-1,4434,4434,0,11 - 20 + 49,45 - 11,40,34,0.15,"+,-",3,2,0
2,54,14,101188,right,left,-1,3989,3989,0,37 - 13,5 + 3 * 5,24,20,0.1667,"+,-,*",2,3,1
2,55,15,105337,left,left,1,2846,2846,0,37 + 7 * 4,1 + 45,65,46,0.2923,"+,*",3,2,1
2,56,16,108337,left,left,1,2904,2904,0,30 + 43,37 + 3 + 16,73,56,0.2329,+,2,3,0
2,57,17,111404,left,left,1,3996,3996,0,4 * 28 - 33,34 + 9 * 3,79,61,0.2278,"+,-,*",3,3,1
2,58,18,115553,right,right,1,3208,3208,0,39 + 6,23 + 37,45,60,0.25,+,2,2,0
2,59,19,118921,right,right,1,4034,4034,0,26 - 40 + 39,31 + 1,25,32,0.2188,"+,-",3,2,0
2,60,20,123121,left,left,1,2372,2372,0,49 + 30,7 * 8,79,56,0.2911,"+,*",2,2,0
2,61,21,125653,left,left,1,3091,3091,0,6 * 27 - 28,2 * 48,134,96,0.2836,"-,*",3,2,1
2,62,22,128903,right,right,1,1912,1912,0,35 + 41,46 + 45,76,91,0.1648,+,2,2,0
2,63,23,130970,right,right,1,1815,1815,0,35 * 2,6 + 30 + 50,70,86,0.186,"+,*",2,3,0
2,64,24,132937,left,left,1,1933,1933,0,35 + 45,16 + 42,80,58,0.275,+,2,2,0
2,65,25,135037,right,right,1,2943,2943,0,40 + 46 - 39,41 + 17,47,58,0.1897,"+,-",3,2,0
2,66,26,138137,right,left,-1,2182,2182,0,44 + 35 - 16,34 + 15,63,49,0.2222,"+,-",3,2,0
2,67,27,140470,right,left,-1,2123,2123,0,9 + 43,18 + 25,52,43,0.1731,+,2,2,0
2,68,28,142753,right,right,1,3268,3268,0,28 - 14,47 - 41 + 11,14,17,0.1765,"+,-",2,3,0
2,69,29,146187,left,left,1,2409,2409,0,18 + 47 + 34,37 - 9 + 50,99,78,0.2121,"+,-",3,3,0
2,70,30,148754,left,left,1,2138,2138,0,36 + 37,43 + 11,73,54,0.2603,+,2,2,0
2,71,31,151053,left,left,1,2830,2830,0,13 + 23 + 32,18 + 24 + 10,68,52,0.2353,+,3,3,0
2,72,32,154037,left,left,1,3085,3085,0,2 * 38,26 + 35,76,61,0.1974,"+,*",2,2,0
2,73,33,157287,right,right,1,3008,3008,0,44 + 7,18 * 4,51,72,0.2917,"+,*",2,2,0
