SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,goNogo
inputDevice,keyboard_space
phase,assessment
sessionStartUTC,2026-07-09T08:54:52.262Z
sessionDurationMs,115128
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,1500/1000/700
itiMs,150
trialsPerLevel,40
goRatio,0.6

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusColor,stimulusShape,isGoTargetColor,isGoTargetShape,sdtOutcome
1,1,1,4403,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,2,2,6071,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,3,3,7737,go,go,1,364,364,0,green,circle,1,1,hit
1,4,4,8253,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,5,5,9904,go,go,1,356,356,0,green,circle,1,1,hit
1,6,6,10421,go,go,1,498,498,0,green,circle,1,1,hit
1,7,7,11071,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,8,8,12737,go,go,1,350,350,0,green,circle,1,1,hit
1,9,9,13238,go,go,1,402,402,0,green,circle,1,1,hit
1,10,10,13803,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,11,11,15454,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,12,12,17121,go,go,1,347,347,0,green,circle,1,1,hit
1,13,13,17621,go,go,1,358,358,0,green,circle,1,1,hit
1,14,14,18136,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,15,15,19804,go,go,1,387,387,0,green,circle,1,1,hit
1,16,16,20353,go,go,1,422,422,0,green,circle,1,1,hit
1,17,17,20937,go,go,1,379,379,0,green,circle,1,1,hit
1,18,18,21470,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,19,19,23137,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,20,20,24804,go,go,1,356,356,0,green,circle,1,1,hit
1,21,21,25320,go,go,1,342,342,0,green,circle,1,1,hit
1,22,22,25820,go,go,1,331,331,0,green,circle,1,1,hit
1,23,23,26304,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,24,24,27971,go,go,1,431,431,0,green,circle,1,1,hit
1,25,25,28554,go,go,1,357,357,0,green,circle,1,1,hit
1,26,26,29071,go,go,1,341,341,0,green,circle,1,1,hit
1,27,27,29569,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,28,28,31237,go,go,1,426,426,0,green,circle,1,1,hit
1,29,29,31819,go,go,1,404,404,0,green,circle,1,1,hit
1,30,30,32386,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,31,31,34037,nogo,nogo,1,1500,1500,0,green,square,1,0,correctRejection
1,32,32,35704,go,go,1,396,396,0,green,circle,1,1,hit
1,33,33,36253,go,go,1,328,328,0,green,circle,1,1,hit
1,34,34,36737,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,35,35,38404,go,go,1,374,374,0,green,circle,1,1,hit
1,36,36,38936,go,go,1,314,314,0,green,circle,1,1,hit
1,37,37,39403,go,go,1,320,320,0,green,circle,1,1,hit
1,38,38,39887,nogo,nogo,1,1500,1500,0,red,square,0,0,correctRejection
1,39,39,41537,nogo,nogo,1,1500,1500,0,red,circle,0,1,correctRejection
1,40,40,43204,go,go,1,425,425,0,green,circle,1,1,hit
2,41,1,46386,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,42,2,47554,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,43,3,48721,go,go,1,423,423,0,blue,square,1,1,hit
2,44,4,49304,nogo,nogo,1,1000,1000,0,blue,circle,1,1,correctRejection
2,45,5,50455,go,go,1,533,533,0,green,circle,1,1,hit
2,46,6,51153,go,go,1,502,502,0,blue,square,1,1,hit
2,47,7,51821,go,go,1,457,457,0,blue,square,1,1,hit
2,48,8,52438,go,go,1,491,491,0,green,circle,1,1,hit
2,49,9,53087,go,go,1,483,483,0,blue,square,1,1,hit
2,50,10,53720,go,go,1,456,456,0,green,circle,1,1,hit
2,51,11,54336,go,go,1,429,429,0,blue,square,1,1,hit
2,52,12,54920,go,go,1,438,438,0,blue,square,1,1,hit
2,53,13,55521,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,54,14,56704,nogo,nogo,1,1000,1000,0,blue,circle,1,1,correctRejection
2,55,15,57887,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,56,16,59055,go,go,1,482,482,0,blue,square,1,1,hit
2,57,17,59689,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,58,18,60870,go,go,1,561,561,0,blue,square,1,1,hit
2,59,19,61587,nogo,nogo,1,1000,1000,0,red,circle,0,1,correctRejection
2,60,20,62754,go,go,1,561,561,0,green,circle,1,1,hit
2,61,21,63469,go,go,1,441,441,0,green,circle,1,1,hit
2,62,22,64071,go,go,1,418,418,0,green,circle,1,1,hit
2,63,23,64654,go,go,1,339,339,0,green,circle,1,1,hit
2,64,24,65153,nogo,nogo,1,1000,1000,0,blue,circle,1,1,correctRejection
2,65,25,66304,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,66,26,67471,go,go,1,487,487,0,blue,square,1,1,hit
2,67,27,68120,nogo,nogo,1,1000,1000,0,blue,circle,1,1,correctRejection
2,68,28,69286,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,69,29,70453,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,70,30,71604,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,71,31,72771,go,go,1,401,401,0,green,circle,1,1,hit
2,72,32,73337,go,go,1,382,382,0,green,circle,1,1,hit
2,73,33,73870,go,go,1,406,406,0,green,circle,1,1,hit
2,74,34,74437,go,go,1,376,376,0,green,circle,1,1,hit
2,75,35,74970,go,go,1,694,694,0,blue,square,1,1,hit
2,76,36,75820,go,go,1,384,384,0,blue,square,1,1,hit
2,77,37,76370,go,go,1,367,367,0,blue,square,1,1,hit
2,78,38,76903,nogo,nogo,1,1000,1000,0,green,square,1,1,correctRejection
2,79,39,78069,nogo,nogo,1,1000,1000,0,red,square,0,1,correctRejection
2,80,40,79221,go,go,1,523,523,0,green,circle,1,1,hit
3,81,1,83621,nogo,nogo,1,700,700,0,red,circle,1,1,correctRejection
3,82,2,84503,nogo,nogo,1,700,700,0,blue,triangle,1,1,correctRejection
3,83,3,85370,go,go,1,419,419,0,red,triangle,1,1,hit
3,84,4,85953,go,go,1,590,590,0,blue,square,1,1,hit
3,85,5,86703,go,go,1,423,423,0,blue,square,1,1,hit
3,86,6,87287,go,go,1,425,425,0,red,triangle,1,1,hit
3,87,7,87870,nogo,nogo,1,700,700,0,red,square,1,1,correctRejection
3,88,8,88737,nogo,nogo,1,700,700,0,red,square,1,1,correctRejection
3,89,9,89587,go,go,1,484,484,0,green,circle,1,1,hit
3,90,10,90237,nogo,nogo,1,700,700,0,green,triangle,1,1,correctRejection
3,91,11,91104,nogo,nogo,1,700,700,0,green,triangle,1,1,correctRejection
3,92,12,91970,go,go,1,389,389,0,red,triangle,1,1,hit
3,93,13,92521,go,go,1,658,658,0,green,circle,1,1,hit
3,94,14,93336,go,go,1,519,519,0,red,triangle,1,1,hit
3,95,15,94019,nogo,nogo,1,700,700,0,blue,circle,1,1,correctRejection
3,96,16,94886,go,go,1,487,487,0,blue,square,1,1,hit
3,97,17,95535,go,go,1,499,499,0,green,circle,1,1,hit
3,98,18,96187,go,go,1,405,405,0,blue,square,1,1,hit
3,99,19,96753,go,go,1,469,469,0,green,circle,1,1,hit
3,100,20,97386,go,go,1,481,481,0,red,triangle,1,1,hit
3,101,21,98019,go,go,1,367,367,0,red,triangle,1,1,hit
3,102,22,98537,nogo,nogo,1,700,700,0,blue,triangle,1,1,correctRejection
3,103,23,99403,go,go,1,474,474,0,blue,square,1,1,hit
3,104,24,100037,go,go,1,467,467,0,green,circle,1,1,hit
3,105,25,100654,nogo,nogo,1,700,700,0,green,square,1,1,correctRejection
3,106,26,101537,go,nogo,-1,540,540,0,blue,circle,1,1,falseAlarm
3,107,27,102236,go,nogo,-1,414,414,0,green,square,1,1,falseAlarm
3,108,28,102803,go,go,1,474,474,0,blue,square,1,1,hit
3,109,29,103436,go,go,1,649,649,0,green,circle,1,1,hit
3,110,30,104237,nogo,nogo,1,700,700,0,red,circle,1,1,correctRejection
3,111,31,105104,go,go,1,524,524,0,green,circle,1,1,hit
3,112,32,105786,nogo,nogo,1,700,700,0,blue,triangle,1,1,correctRejection
3,113,33,106669,nogo,nogo,1,700,700,0,green,triangle,1,1,correctRejection
3,114,34,107552,nogo,nogo,1,700,700,0,red,circle,1,1,correctRejection
3,115,35,108403,go,go,1,573,573,0,red,triangle,1,1,hit
3,116,36,109137,go,go,1,481,481,0,blue,square,1,1,hit
3,117,37,109770,go,go,1,418,418,0,red,triangle,1,1,hit
3,118,38,110353,go,go,1,475,475,0,green,circle,1,1,hit
3,119,39,110986,go,go,1,569,569,0,blue,square,1,1,hit
3,120,40,111721,nogo,nogo,1,700,700,0,green,square,1,1,correctRejection
