SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,memoryMatrix
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-09T08:57:04.631Z
sessionDurationMs,556497
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,7000/7000/7000
itiMs,150
stimulusMs,2000
retentionMs,1000
trialsPerLevel,20
pointerLockUsed,1

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stage,gridSize,nTargets,targetCells,clickedCells,nHits,nMisses,nFalseAlarms,score,clickTimesMs,outOfBoundsClickCount,gridOriginX,gridOriginY,cellSizePx,pointerLockActive
1,1,1,2134,timeout,done,0,10000,7000,0,1,4,4,"3,1;3,0;3,2;1,1",,0,4,0,0,,7,637,301,90,1
1,2,2,12316,done,done,-1,8182,5182,0,1,4,4,"3,1;2,0;0,2;0,0","2,0;3,1;0,1;1,2",2,2,2,0.5,1142;1869;3201;3739,0,637,301,90,1
1,3,3,20650,done,done,1,6388,3388,0,1,4,4,"0,2;2,2;2,0;1,3","2,0;2,2;1,3;0,2",4,0,0,1,945;1548;2044;2603,0,637,301,90,1
1,4,4,27200,done,done,1,6539,3539,0,1,4,4,"3,0;2,1;2,2;0,0","0,0;3,0;2,1;2,2",4,0,0,1,746;1430;1905;2397,1,637,301,90,1
1,5,5,33900,done,done,1,6752,3752,0,1,4,4,"0,2;0,1;0,3;2,3","0,2;0,1;0,3;2,3",4,0,0,1,1300;1846;2455;3078,0,637,301,90,1
1,6,6,40817,done,done,1,6266,3266,0,1,4,4,"1,0;3,1;1,3;3,3","1,0;3,1;3,3;1,3",4,0,0,1,536;1102;1817;2595,0,637,301,90,1
1,7,7,47250,done,done,1,6619,3619,0,1,4,4,"1,3;3,3;3,0;2,3","3,0;3,3;2,3;1,3",4,0,0,1,828;1591;2089;2524,0,637,301,90,1
1,8,8,54034,done,done,1,6474,3474,0,2,4,5,"1,3;0,1;3,3;0,2;1,0","1,0;0,1;0,2;1,3;3,3",5,0,0,1,563;1109;1618;2102;2635,1,637,301,90,1
1,9,9,60667,done,done,1,6230,3230,0,2,4,5,"2,3;1,2;2,2;3,1;1,3","3,1;2,2;1,2;1,3;2,3",5,0,0,1,604;1123;1521;1969;2368,0,637,301,90,1
1,10,10,67050,done,done,1,6592,3592,0,2,4,5,"0,2;3,3;0,1;2,3;2,1","2,1;0,1;0,2;2,3;3,3",5,0,0,1,630;1260;1736;2331;2694,1,637,301,90,1
1,11,11,73799,done,done,1,6661,3661,0,2,4,5,"3,3;0,0;1,0;3,2;3,0","0,0;1,0;3,0;3,2;3,3",5,0,0,1,910;1512;2308;2786;3181,0,637,301,90,1
1,12,12,80616,done,done,1,6741,3741,0,2,4,5,"0,2;3,0;2,3;1,3;2,0","2,0;3,0;2,3;1,3;0,2",5,0,0,1,694;1202;1818;2259;2728,1,637,301,90,1
1,13,13,87516,done,done,1,6532,3532,0,2,4,5,"1,3;3,3;2,3;0,1;1,2","0,1;1,2;1,3;3,3;2,3",5,0,0,1,729;1186;1597;1961;2479,1,637,301,90,1
1,14,14,94199,done,done,1,7035,4035,0,3,4,6,"1,2;2,2;0,3;1,0;3,2;3,1","0,3;1,0;1,2;2,2;3,2;3,1",6,0,0,1,729;1469;2023;2413;2841;3285,0,637,301,90,1
1,15,15,101399,done,done,1,6771,3771,0,3,4,6,"1,0;3,0;0,0;2,0;1,1;1,2","0,0;1,0;2,0;3,0;1,1;1,2",6,0,0,1,794;1261;1647;2122;2653;3094,0,637,301,90,1
1,16,16,108333,done,done,1,7150,4150,0,3,4,6,"0,0;3,2;2,1;0,3;1,3;3,1","0,0;2,1;3,1;3,2;1,3;0,3",6,0,0,1,613;1258;1664;2316;2979;3405,0,637,301,90,1
1,17,17,115634,done,done,1,7329,4329,0,3,4,6,"0,1;0,2;1,3;2,3;0,0;3,0","3,0;0,2;0,1;0,0;1,3;2,3",6,0,0,1,684;1290;1744;2774;3377;3810,0,637,301,90,1
1,18,18,123116,done,done,1,7195,4195,0,3,4,6,"3,0;2,1;1,0;2,0;2,2;0,0","2,1;2,2;3,0;2,0;1,0;0,0",6,0,0,1,673;1085;1681;2592;3026;3441,0,637,301,90,1
1,19,19,130466,done,done,1,6668,3668,0,3,4,6,"2,0;1,1;3,0;2,1;1,0;1,2","3,0;2,0;1,0;2,1;1,1;1,2",6,0,0,1,671;1092;1595;2031;2443;2890,0,637,301,90,1
1,20,20,137299,done,done,1,6633,3633,0,3,4,6,"2,1;1,3;3,1;1,2;0,0;0,1","2,1;3,1;1,2;1,3;0,1;0,0",6,0,0,1,531;977;1502;1901;2502;2964,0,637,301,90,1
2,21,1,195031,done,done,1,7512,4512,0,1,5,6,"4,0;3,3;0,0;4,4;4,1;0,1","4,0;4,1;3,3;4,4;0,0;0,1",6,0,0,1,961;1537;2030;2516;3378;3714,0,592,256,90,1
2,22,2,202698,done,done,1,7201,4201,0,1,5,6,"4,1;2,4;4,0;1,4;3,2;0,4","4,0;4,1;3,2;2,4;1,4;0,4",6,0,0,1,699;1109;1636;2204;2624;3185,1,592,256,90,1
2,23,3,210065,done,done,1,6983,3983,0,1,5,6,"4,1;0,4;1,3;0,2;0,1;1,4","4,1;0,1;0,2;1,3;1,4;0,4",6,0,0,1,674;1446;1841;2297;2632;3431,0,592,256,90,1
2,24,4,217198,done,done,-1,7528,4528,0,1,5,6,"0,1;4,2;1,3;3,4;1,0;4,3","1,0;0,0;2,4;3,4;3,3;4,2;4,3",4,2,3,0.667,777;1304;1859;2352;2757;3170;3460,0,592,256,90,1
2,25,5,224881,done,done,1,7690,4690,0,1,5,6,"4,2;4,1;0,2;3,2;0,0;0,3","4,1;4,2;3,2;0,2;0,3;0,0",6,0,0,1,757;1030;1332;2227;2779;3446,0,592,256,90,1
2,26,6,232731,done,done,1,8846,5846,0,1,5,6,"2,4;0,2;0,3;2,0;0,1;4,0","4,0;2,0;0,1;0,2;0,3;2,4",6,0,0,1,763;1538;2355;2771;3202;5003,1,592,256,90,1
2,27,7,241732,done,done,1,7988,4988,0,1,5,6,"0,4;3,2;4,4;3,3;2,2;1,4","2,2;3,2;3,3;4,4;1,4;0,4",6,0,0,1,545;1012;1464;1908;2821;3697,1,592,256,90,1
2,28,8,249881,done,done,-1,9373,6373,0,2,5,7,"0,0;4,1;1,4;4,3;2,3;4,4;1,0","2,3;1,4;4,3;4,4;4,1;0,0;0,1",6,1,1,0.857,1174;1655;2451;2837;3684;4616;4937,0,592,256,90,1
2,29,9,259414,done,done,1,9486,6486,0,2,5,7,"4,0;1,4;3,2;2,0;2,4;0,0;1,2","0,0;2,0;4,0;3,2;1,2;2,4;1,4",7,0,0,1,936;1685;2929;3706;4515;5214;5616,0,592,256,90,1
2,30,10,269065,done,done,1,8152,5152,0,2,5,7,"3,1;3,3;2,2;0,0;2,0;4,3;0,1","4,3;3,3;2,2;3,1;2,0;0,0;0,1",7,0,0,1,873;1293;1856;2542;3115;4040;4429,0,592,256,90,1
2,31,11,277381,done,done,1,7425,4425,0,2,5,7,"4,0;0,1;1,2;2,1;1,0;3,4;3,1","4,0;3,1;2,1;1,0;0,1;1,2;3,4",7,0,0,1,938;1320;1688;2242;2744;3128;3866,0,592,256,90,1
2,32,12,284964,done,done,1,7189,4189,0,2,5,7,"1,2;4,0;4,1;1,3;3,1;2,0;1,4","4,0;4,1;3,1;2,0;1,2;1,3;1,4",7,0,0,1,873;1164;1537;2061;2843;3254;3728,0,592,256,90,1
2,33,13,292315,done,done,1,7844,4844,0,2,5,7,"3,3;4,0;0,2;2,1;4,4;2,4;4,3","4,0;2,1;0,2;2,4;3,3;4,3;4,4",7,0,0,1,844;1350;1869;2481;3021;3500;3836,1,592,256,90,1
2,34,14,300314,done,done,-1,9367,6367,0,3,5,8,"1,0;3,3;4,4;4,0;0,2;2,1;2,3;2,0","1,0;2,0;2,1;0,2;4,1;4,0;3,2;3,3;2,3;4,4",8,0,2,1,983;1239;1593;2242;3022;3881;4440;4749;5138;5756,0,592,256,90,1
