trialIndexGlobal,timestampMs,mouseX,mouseY
1,2150,822,687
1,2250,822,687
1,2350,822,687
1,2450,822,687
1,2567,822,687
1,2667,822,687
1,2784,822,687
1,2900,822,687
1,3016,822,687
1,3116,822,687
1,3217,822,687
1,3318,822,687
1,3433,822,687
1,3534,822,687
1,3634,822,687
1,3749,822,687
1,3866,822,687
1,3966,822,687
1,4082,822,687
1,4183,822,687
1,4283,822,687
1,4384,822,687
1,4499,822,687
1,4599,822,687
1,4700,822,687
1,4800,822,687
1,4916,822,687
1,5016,822,687
1,5133,822,687
1,5233,817,481
1,5333,817,481
1,5434,817,481
1,5550,817,481
1,5667,817,481
1,5783,NaN,NaN
1,5900,NaN,NaN
1,6000,NaN,NaN
1,6116,NaN,NaN
1,6217,NaN,NaN
1,6317,NaN,NaN
1,6417,NaN,NaN
1,6534,NaN,NaN
1,6634,NaN,NaN
1,6749,NaN,NaN
1,6867,NaN,NaN
1,6984,NaN,NaN
1,7100,NaN,NaN
1,7217,NaN,NaN
1,7333,NaN,NaN
1,7433,NaN,NaN
1,7533,NaN,NaN
1,7650,NaN,NaN
1,7750,NaN,NaN
1,7850,NaN,NaN
1,7966,NaN,NaN
1,8067,NaN,NaN
1,8183,NaN,NaN
1,8284,NaN,NaN
1,8400,NaN,NaN
1,8517,NaN,NaN
1,8633,NaN,NaN
1,8749,NaN,NaN
1,8849,NaN,NaN
1,8949,NaN,NaN
1,9050,NaN,NaN
1,9166,NaN,NaN
1,9266,NaN,NaN
1,9383,NaN,NaN
1,9483,NaN,NaN
1,9599,NaN,NaN
1,9700,NaN,NaN
1,9816,NaN,NaN
1,9916,NaN,NaN
1,10016,NaN,NaN
1,10132,NaN,NaN
1,10232,NaN,NaN
1,10333,NaN,NaN
1,10449,NaN,NaN
1,10550,NaN,NaN
1,10666,NaN,NaN
1,10783,NaN,NaN
1,10899,NaN,NaN
1,11016,NaN,NaN
1,11132,NaN,NaN
1,11232,NaN,NaN
1,11332,NaN,NaN
1,11432,NaN,NaN
