SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,simon
inputDevice,keyboard_arrow
phase,assessment
sessionStartUTC,2026-07-09T08:52:45.264Z
sessionDurationMs,107986
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,2000/1200/800
itiMs,150
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,stimulusPosition,congruency
1,1,1,5736,left,left,1,611,611,0,right,incongruent
1,2,2,6502,left,left,1,412,412,0,right,incongruent
1,3,3,7068,right,right,1,485,485,0,right,congruent
1,4,4,7719,left,left,1,543,543,0,left,congruent
1,5,5,8419,left,left,1,588,588,0,left,congruent
1,6,6,9169,left,left,1,509,509,0,left,congruent
1,7,7,9836,left,left,1,579,579,0,right,incongruent
1,8,8,10569,right,right,1,554,554,0,left,incongruent
1,9,9,11285,left,left,1,616,616,0,left,congruent
1,10,10,12052,right,right,1,643,643,0,right,congruent
1,11,11,12853,left,left,1,506,506,0,right,incongruent
1,12,12,13519,right,right,1,656,656,0,left,incongruent
1,13,13,14337,left,left,1,488,488,0,left,congruent
1,14,14,14986,left,left,1,471,471,0,left,congruent
1,15,15,15619,left,left,1,644,644,0,right,incongruent
1,16,16,16418,right,right,1,469,469,0,right,congruent
1,17,17,17052,left,left,1,495,495,0,right,incongruent
1,18,18,17702,right,right,1,536,536,0,left,incongruent
1,19,19,18402,right,right,1,414,414,0,left,incongruent
1,20,20,18968,left,left,1,529,529,0,right,incongruent
1,21,21,19653,right,right,1,453,453,0,right,congruent
1,22,22,20269,left,left,1,465,465,0,left,congruent
1,23,23,20886,right,right,1,492,492,0,left,incongruent
1,24,24,21535,right,right,1,440,440,0,left,incongruent
1,25,25,22135,right,right,1,492,492,0,right,congruent
1,26,26,22786,right,right,1,559,559,0,left,incongruent
1,27,27,23503,right,right,1,413,413,0,right,congruent
1,28,28,24069,left,left,1,522,522,0,left,congruent
1,29,29,24752,right,right,1,399,399,0,right,congruent
1,30,30,25302,left,left,1,513,513,0,right,incongruent
1,31,31,25969,left,left,1,606,606,0,left,congruent
1,32,32,26736,right,right,1,480,480,0,right,congruent
1,33,33,27369,left,left,1,522,522,0,right,incongruent
1,34,34,28052,right,right,1,551,551,0,left,incongruent
1,35,35,28770,right,right,1,654,654,0,right,congruent
1,36,36,29585,left,left,1,488,488,0,left,congruent
1,37,37,30236,right,right,1,414,414,0,right,congruent
1,38,38,30802,right,right,1,560,560,0,left,incongruent
1,39,39,31519,left,left,1,490,490,0,right,incongruent
1,40,40,32169,right,right,1,547,547,0,left,incongruent
2,41,1,37602,right,right,1,641,641,0,right,congruent
2,42,2,38402,right,right,1,593,593,0,center,incongruent
2,43,3,39152,right,right,1,456,456,0,center,incongruent
2,44,4,39769,left,left,1,538,538,0,center,incongruent
2,45,5,40469,left,left,1,621,621,0,right,incongruent
2,46,6,41252,left,left,1,523,523,0,left,congruent
2,47,7,41936,right,right,1,500,500,0,right,congruent
