SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,starSearch
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-09T09:06:47.172Z
sessionDurationMs,279905
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,5000/4000/2500
fixationJitterMs,500-800
itemSizePx,56
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,searchType,setSize,targetItem,distractor1Item,distractor2Item,distractor1Count,distractor2Count,fixationDuration,targetX,targetY,clickX,clickY,clickDistance,clickedItemType,emptyClickCount
1,1,1,3614,gold_circle,gold_circle,1,2082,1353,0,feature,21,gold_circle,darkturquoise_circle,,20,0,729,1210,465,1200,456,13,target,0
1,2,2,5696,royalblue_cross,royalblue_cross,1,2059,1437,0,feature,21,royalblue_cross,green_cross,,20,0,622,369,298,378,298,9,target,0
1,3,3,7755,darkorange_circle,darkorange_circle,1,1621,1099,0,feature,21,darkorange_circle,darkturquoise_circle,,20,0,522,1026,485,1013,484,13,target,0
1,4,4,9376,royalblue_hexagon,royalblue_hexagon,1,1699,1063,0,feature,21,royalblue_hexagon,darkorange_hexagon,,20,0,636,1259,446,1254,448,5,target,0
1,5,5,11076,deeppink_semicircle,deeppink_semicircle,1,1681,1148,0,feature,21,deeppink_semicircle,darkturquoise_semicircle,,20,0,533,910,777,920,758,22,target,0
1,6,6,12756,red_hexagon,red_hexagon,1,1450,900,0,feature,21,red_hexagon,gold_hexagon,,20,0,550,800,509,793,500,12,target,0
1,7,7,14207,gold_diamond,gold_diamond,1,1550,978,0,feature,21,gold_diamond,darkorange_diamond,,20,0,572,506,464,514,456,11,target,0
1,8,8,15757,red_semicircle,red_semicircle,1,1830,1321,0,feature,21,red_semicircle,dimgray_semicircle,,20,0,509,431,351,434,336,15,target,0
1,9,9,17586,darkorange_pentagon,darkorange_pentagon,1,1660,1096,0,feature,21,darkorange_pentagon,purple_pentagon,,20,0,564,533,535,518,531,15,target,0
1,10,10,19246,purple_hexagon,purple_hexagon,1,1645,1039,0,feature,21,purple_hexagon,deeppink_hexagon,,20,0,606,517,234,506,226,14,target,0
1,11,11,20891,red_hexagon,red_hexagon,1,1544,875,0,feature,21,red_hexagon,dimgray_hexagon,,20,0,669,504,588,500,594,7,target,0
1,12,12,22435,saddlebrown_star,saddlebrown_star,1,1519,929,0,feature,21,saddlebrown_star,deeppink_star,,20,0,590,503,385,507,374,12,target,0
1,13,13,23954,royalblue_square,royalblue_square,1,1346,782,0,feature,21,royalblue_square,deeppink_square,,20,0,564,1096,650,1111,644,16,target,0
1,14,14,25300,darkorange_triangle,darkorange_triangle,1,1509,835,0,feature,21,darkorange_triangle,royalblue_triangle,,20,0,674,750,726,757,726,7,target,0
1,15,15,26809,saddlebrown_diamond,saddlebrown_diamond,1,1570,1000,0,feature,21,saddlebrown_diamond,darkorange_diamond,,20,0,570,1055,312,1044,306,13,target,0
1,16,16,28379,darkturquoise_diamond,darkturquoise_diamond,1,1610,1016,0,feature,21,darkturquoise_diamond,gold_diamond,,20,0,594,1115,293,1106,280,15,target,0
1,17,17,29989,darkorange_triangle,darkorange_triangle,1,1673,984,0,feature,21,darkorange_triangle,darkturquoise_triangle,,20,0,689,962,262,964,256,7,target,0
1,18,18,31662,darkturquoise_square,darkturquoise_square,1,1784,1112,0,feature,21,darkturquoise_square,darkorange_square,,20,0,672,512,610,522,598,16,target,0
1,19,19,33446,darkturquoise_circle,darkturquoise_circle,1,1576,941,0,feature,21,darkturquoise_circle,royalblue_circle,,20,0,635,988,437,972,430,18,target,0
1,20,20,35022,saddlebrown_square,saddlebrown_square,1,1737,957,0,feature,21,saddlebrown_square,darkorange_square,,20,0,780,831,236,837,242,8,target,0
1,21,21,36759,gold_star,gold_star,1,1468,947,0,feature,21,gold_star,darkturquoise_star,,20,0,521,1060,345,1052,350,9,target,0
