trialIndexGlobal,timestampMs,mouseX,mouseY
1,3621,846,683
1,3737,846,683
1,3837,846,683
1,3938,846,683
1,4055,872,543
1,4170,854,510
1,4271,838,508
1,4387,830,508
1,4487,828,502
1,4604,824,496
1,4704,820,491
1,4805,934,446
1,4920,1104,464
1,5021,1108,462
1,5137,1142,433
1,5237,1159,439
1,5338,1181,454
1,5454,1192,461
1,5555,1200,456
1,5671,1200,456
1,5696,1200,456
2,5771,1200,456
2,5872,1200,456
2,5987,1200,456
2,6088,1200,456
2,6205,1086,512
2,6321,1009,529
2,6422,962,502
2,6538,946,480
2,6656,946,480
2,6771,843,501
2,6871,591,434
2,6987,550,408
2,7088,550,408
2,7204,463,344
2,7321,428,321
2,7421,420,316
2,7537,381,299
2,7638,378,298
2,7754,378,298
2,7755,378,298
3,7855,378,298
3,7955,378,298
3,8071,378,298
3,8172,378,298
3,8288,378,298
3,8404,449,310
3,8521,647,413
3,8621,653,417
3,8721,653,417
3,8837,918,472
3,8937,1000,494
3,9037,1006,494
3,9137,1011,487
3,9238,1013,484
3,9354,1013,484
3,9376,1013,484
4,9455,1013,484
4,9571,1013,484
4,9688,1013,484
4,9787,1013,484
4,9904,992,494
4,10004,879,502
4,10104,836,490
4,10221,824,488
4,10337,817,484
4,10454,1144,517
4,10555,1230,511
4,10670,1258,488
4,10770,1258,468
4,10871,1254,450
4,10971,1254,448
4,11076,1254,448
5,11089,1254,448
5,11205,1254,448
5,11306,1254,448
5,11421,1254,448
5,11537,1254,448
5,11654,1254,448
5,11770,1229,448
5,11887,1077,448
5,11987,893,474
5,12087,885,625
5,12204,939,734
5,12304,941,737
5,12404,938,743
5,12504,926,751
5,12620,920,758
5,12720,920,758
5,12756,920,758
6,12820,920,758
6,12921,920,758
6,13037,920,758
6,13137,920,758
6,13237,920,758
6,13354,885,699
6,13454,859,603
6,13554,856,525
6,13654,873,469
6,13754,856,472
6,13870,796,488
6,13970,795,491
6,14071,793,500
6,14171,793,500
6,14207,793,500
7,14287,793,500
7,14387,793,500
7,14487,793,500
7,14587,793,500
7,14704,793,500
7,14804,793,500
7,14904,794,500
7,15004,818,487
7,15104,870,505
7,15220,833,534
7,15320,582,476
7,15420,542,460
7,15537,515,456
7,15637,514,456
7,15754,514,456
7,15757,514,456
8,15861,514,456
8,15971,514,456
8,16088,514,456
8,16188,514,456
8,16304,514,456
8,16420,714,474
8,16537,760,484
8,16654,753,484
8,16755,466,414
8,16870,435,388
8,16970,420,366
8,17071,420,362
8,17187,427,350
8,17287,432,346
8,17388,434,336
8,17488,434,336
8,17586,434,336
9,17605,434,336
9,17705,434,336
9,17821,434,336
9,17937,434,336
9,18037,489,358
9,18138,626,400
9,18254,754,437
9,18354,843,468
9,18454,870,476
9,18570,797,487
9,18670,509,565
9,18787,464,559
9,18888,472,545
9,19004,516,530
9,19104,518,531
9,19221,518,531
9,19246,518,531
10,19322,518,531
10,19438,518,531
10,19538,518,531
10,19638,518,531
10,19738,518,531
10,19855,518,531
10,19971,518,531
10,20087,747,507
10,20187,780,501
10,20304,496,395
10,20404,494,302
10,20520,505,258
10,20638,505,228
10,20754,506,226
10,20856,506,226
10,20891,506,226
11,20971,506,226
11,21072,506,226
11,21187,506,226
11,21287,506,226
11,21404,679,351
11,21504,796,417
11,21620,810,430
11,21720,815,482
11,21820,811,500
11,21921,800,504
11,22037,562,584
11,22138,507,614
11,22254,494,605
11,22354,496,598
11,22435,500,594
12,22471,500,594
12,22588,500,594
12,22688,500,594
12,22805,500,594
12,22921,500,594
12,23037,520,585
12,23154,714,530
12,23254,786,529
12,23354,786,529
12,23470,734,531
12,23572,581,378
12,23687,535,350
12,23787,515,360
12,23887,507,368
12,23954,507,374
13,24004,507,374
13,24120,507,374
13,24221,507,374
13,24337,507,374
13,24437,658,373
13,24554,821,411
13,24654,826,413
13,24754,812,410
13,24870,722,402
13,24970,1013,568
13,25070,1109,642
13,25170,1111,644
13,25287,1111,644
